1,02-03,"Фонд   ""Институт фондового рынка и управления""",7710264307,Всероссийская   олимпиада по финансовому рынку для старшеклассников,"2   000 000,0═",
26,345-03,Тверская   региональная общественная организация ╚Агентство молодых специалистов╩,6903037316,Скорая   юридическая и аудиторская помощь,"1 500 000,0═",
27,347-03,Тверская   областная общественная организация ╚Союз молодых специалистов╩,6950026135,Социальный   проект по трудоустройству выпускников,"3 300 000,0═",
28,350-03,АНО   ╚Центр поддержки культуры и творчества ВДОХНОВЕНИЕ╩,7705723442,╚Большое   будущее╩,"3 300 000,0═",
29,351-03,Нижегородская   ООО родителей детей-инвалидов детства с диагнозом фенилкетонурия,5259033940,Мир   беззаботного детства,"2 800 000,0═",
30,353-03,"Автономная   некоммерческая организация Редакция журнала ""Наследник""",7705665159,"IV   Международный православный студенческий Форум ""Вера и дело""","2 700 000,0═",
31,354-03,"Региональная   общественная организация содействия просвещению граждан   ""Информационно-аналитический центр ""СОВА""",7709392054,Расширение   мониторинга агрессивной ксенофобии,"2 400 000,0═",
32,361-03,"Автономная   некоммерческая организация ""Общенациональный совет просветительских   организаций""",7706411781,Антикризисная   поддержка молодых учёных и продвижение инновационных научных разработок,"2 700 000,0═",
33,367-03,Ассоциация   агентств поддержки малого и среднего бизнеса ╚РАЗВИТИЕ╩,7729349635,Развитие   системы стимулирования молодежного═   инновационного предпринимательства,"4 700 000,0═",
34,374-03,Негосударственное   образовательное частное учреждение ╚Центр бизнес-образования╩,3232037239,Профессиональное   развитие и поддержка молодых инновационных кадров как эффективный механизм   преодоления кризиса,"2 000 000,0═",
35,380-03,"Смоленская   областная общественная организация ""Смоленская областная организация   РСМ""",6730013469,"""СмолМолПром""","605 000,0═",
36,383-03,"Общероссийская   общественная организация ""Национальная Асоциация жцрналистов   ""Медиакратия""",7729436373,Система   работает!,"3 000 000,0═",
37,385-03,"АНО   ""Центр поддержки молодежных и детских объединений Смоленщины""",6731065205,"Смоленский   центр содействия развитию молодежного туризма ""Жить для жизни""","800 000,0═",
38,390-03,Ивановское   региональное отделение ООО ╚Всероссийский азербайджанский конгресс╩,3702022145,Параллели:   создание межнационального молодежного центра в г. Иваново,"1 100 000,0═",
39,394-03,Региональная   общественная организация ╚Ассоциация выпускников президентской программы╩,6163055279,Альтернативная   карьера для молодежи,"1 900 000,0═",
40,398-03,Кировская   областная организация РСМ,4347014335,"""PR-Движение""","1 100 000,0═",
41,407-03,"Читинская   областная организация общероссийской общественной организации ""РСМ""",7536053825,Мы-граждане   России,"195 000,0═",
42,421-03,"Межрегиональное   молодежное общественное движение ""Новое поколение""",7709439305,Поощрение   инициатив молодежи в сфере науки и техники,"6 800 000,0═",
43,425-03,"Региональная   общественная организация социальной поддержки молодежи ""Студенческая   Община МГТУ им Н.Э.Баумана""",7701347733,Поддержка   и поощрение инициатив молодежи в сфере науки и техники,"5 200 000,0═",
44,431-03,"Региональный   общественный фонд содействия духовному возрождению и культурному просвещению   ""Весна классическая""",7722308421,Образовательные   лагеря,"3 000 000,0═",
45,438-03,Некоммерческое   партнерство═ ╚ВКК-национальный союз   кадровиков╩,7706554758,Привлечение   в кадровый резерв органов госвласти высококвалифицированных специалистов в   области управления,"1 000 000,0═",
46,439-03,"Ассоциация   общественных объединений ""Национальный Совет молодежных и детских   объединений России""",7701157147,"Клуб   ""Многонациональная Россия""","3 000 000,0═",
47,448-03,"Межрегиональная   молодежная общественная организация ""Новые люди""═",3445076578,Плечом   к плечу,"6 800 000,0═",
48,450-03,"Нижегородская   региональная общественная организация ""Центр Мобильных Команд   ""Реакция""",5258076290,"Лагерь   будущих предпринимателей ""Ты главный!""","3 000 000,0═",
49,464-03,"Городской   общественный фонд ""Согласие""",2801076125,Ступени   в будущее российской науки,"900 000,0═",
50,466-03,"Некоммерческая   организация ""Спортивный фонд ""Футбольный клуб ""Олимпия""",2315126441,"""Поверь   в мечту"" - школа бразильского футбола в России","8 900 000,0═",
51,468-03,"Некоммерческое   партнерство ""Центр общественных технологий""",7726243662,Организация   системных информационных обменов по неконфликтной трактовке совместной   истории в молодежной среде России и стран постсоветского пространства,"5 500 000,0═",
52,474-03,"Волгоградская   региональная молодежная общественная организация ""Волгоградский Союз   Единения Молодежи""",3441028118,"Проект   поддержки молодых специалистов ""Перспективное знание-сила!""","5 200 000,0═",
53,478-03,Санкт-Петербургская   региональная общественная организация культурного развития ╚Русское наследие╩,7805155514,Молодежь и культурное наследие.═,"2 800 000,0═",
54,485-03,"Московская   областная общественная организация ""Клуб болельщиков"" ФК   ""Химки""",5047096995,Содействие   сохранению традиций русской культуры в национальных субъектах РФ,"3 000 000,0═",
55,491-03,"Общероссийская   общественная организация ""Федерация мигрантов России""",7705518644,"Роль   молодежи в профилактике терроризма, экстремизма и ксенофобии, межнациональных   конфликтов и расовой дискриминации""","1 000 000,0═",
56,497-03,"Ивановская   областная организацияобщероссийской общественной организации ""Российский   Союз Молодежи",3702552671,Молодежь-ветеранам,"400 000,0═",
57,502-03,"Ивановское   региональное отделение Всероссийскойй общественной организации ""Молодая   Гвардия Единой России""",3702011016,Проект   развития малого предпринимательства в молодежной среде,"400 000,0═",
58,503-03,Благотворительный   фонд развития детских и молодежных программ ╚Святогор╩,5260184623,Разработка   и запуск системы развития предпринимательского потенциала выпускников Вузов и   оказание адресной поддержки талантливым молодым специалистам,"1 600 000,0═",
59,507-03,"Липецкое   региональное отделение Общероссийской общественной организации   ""Российское аграрное движение - РАД""",4825034103,Молодежь   - резерв будущего,"1 100 000,0═",
60,511-03,"Ульяновское   региональное отделение Общероссийской общественной организации   ""Российское аграрное движение - РАД""",7325040378,Поддержим   молодежь Ульяновской области!,"800 000,0═",
61,524-03,"Рязанское   региональное отделение Общероссийской общественной организации   ""Российское аграрное движение - РАД""",6231057679,Молодое   будущее России,"900 000,0═",
62,527-03,"Общероссийское   общественное двжение ""Российский конгресс народов Кавказа""",7733183735,Интеграции   кавказской молодежи в российский социум,"4 100 000,0═",
63,530-03,"Ростовское   региональное отделение Общероссийской общественной организации   ""Российское аграрное движение - РАД""",6165105207,"Россия   - молодежи, молодежь - России""","2 400 000,0═",
64,536-03,"Оренбургское   региональное отделение Общероссийской общественной организации   ""Российское аграрное движение - РАД""",5610073993,Оренбуржью   - достойные кадры,"1 200 000,0═",
65,542-03,"Якутское   региональное отделение Общероссийской общественной организации   ""Российское аграрное движение - РАД""",1435132438,"""Молодежь   - главный инновационный ресурс России""","1 200 000,0═",
66,547-03,"═Общероссийская общественная организация   ""Российское аграрное движение - РАД""",7708204029,Поможем   молодежи строить Россию!,"5 800 000,0═",
67,553-03,"Некоммерческая   организация ""Ассоциация образовательных учреждений АПК и   рыболовства""",7713201714,Молодые   новаторы аграрной России,"6 000 000,0═",
68,560-03,"Общероссийское   общественное объединение ""профессиональный союз работников   агропромышленного комплекса Российской Федерации""",7727005540,Студенческие   отряды - школа становления молодых специалистов АПК России,"3 500 000,0═",
69,561-03,Хабаровский   краевой благотворительный общественный фонд культуры,2722001504,ДВ-регион   XXI век,"1 000 000,0═",
70,574-03,"Кемеровская   региональная общественная организация Кузбасский центр ""Инициатива""",4207049151,"""Ты   - можешь!""","1 300 000,0═",
71,585-03,"Новгородский   региональный общественный Фонд ""Гражданская инициатива""",5321083520,"""Перспектива   2010""","1 200 000,0═",
72,612-03,"Межрегиональная   общественная организация ""Экологический клуб аспирантов, студентов и   школьников Балтийско-ладожского региона""",7805150160,Молодежь   за окружающую среду и здоровый образ жизни,"410 000,0═",
73,620-03,ООД   ╚Всероссийское объединение болельщиков╩,7705519454,Технологии   толерантности в молодежной среде,"500 000,0═",
74,622-03,"Общероссийская   общественная организация ""Всероссийское общество инвалидов",7730023162,"""Молодежный   диалог""","900 000,0═",
75,623-03,"Некоммерческое   партнерство ""НАРОДНАЯ ДРУЖИНА""",5001062859,Содействие   правохранительным и иным государственным органам в охране правопорядка и   воспитании граждан в духе уважения к закону,"1 500 000,0═",
76,638-03,"Общественное   объединение ""Российская ассоциация общественных объединений охотников и   рыболовов",7712008965,"Межрегиональная   комплексаная программа патриотического воспитания молодежи ""Честь   имею""","950 000,0═",
77,672-03,"Межоегиональная   общественная организация ""Содружество студентов и молодежи""",7729439568,Социальлно-информационная   сеть молодых ученых России,"1 000 000,0═",
78,673-03,"""Свердловская   областная организация РСМ""",6661005009,Не   потеряться в этом большом городе,"900 000,0═",
79,678-03,Региональная   молодежная общественная организация ╚Союз молодежи МАИ╩,7712010259,Стимулирование   инновационного самообразования,"2 000 000,0═",
80,683-03,"Ульяновская   Региональная Организация Общероссийской Общественной Организации ""Центр   поддержки молодежных инициатив""",7325017497,Юные   таланты России. Республика Ингушетия,"1 500 000,0═",
81,686-03,"Некоммерческая   организация Фонд социально-культурных программ ""Губерния""",7703286660,Проведение   Национальной детской премии-2009,"7 500 000,0═",
82,694-03,"Автономная   некоммерческая организация ""Добрыня""",5834029662,Социальная   поддержка выпускников Пензенских ВУЗов,"1 100 000,0═",
83,702-03,"Общественная   организация Благотворительный фонд ""Здоровье Карелии""",1001039500,Будущее   России,"1 100 000,0═",
84,703-03,"Общественная   организация ""Совет молодежных организаций Республики Татарстан""",1655004015,"Программа   поддержки предприимчивой молодежи ""Шаг вперед""","570 000,0═",
85,711-03,"Региональная   общественная организация ""Удмуртская организация Российского Союза   Молодежи""",1835036425,"Мы   граждане одной страны, и будущее у нас одно!","1 100 000,0═",
86,725-03,"Региональная   общественная организация ""Персмкое региональное отделение общероссийской   общественной организации ""Детские и молодежные социальные   инициативы"" (ДИМСИ)",5904076387,Вектор-антикризис,"1 100 000,0═",
87,779-03,Магаданская   областная общественная организация Российского Союза Молодежи,4909048720,Оказание   материальной помощи отдельным категориям молодежи в условиях финансового   кризиса,"1 100 000,0═",
88,839-03,"Межрегиональная   Карачаево-Черкесская республиканская общественная организация   ""Интеллектуально-творческое объединение молодежи""",0901047460,"Мастерская   по развитию интеллектуально-творческого потенциала молодежи республики   Карачаево-Черкесия ""Шаг в будущее""","750 000,0═",
89,843-03,"Молодежное   общероссийское общественное движение""Российские студенческие отряды",7707329762,Вовлечение   молодежи в деятельность студенческих отрядов и молодежных трудовых   объединения,"5 980 000,0═",
90,845-03,Общероссийский   союз общественных объединений ╚Российский союз боевых искусств╩,7709439009,Золотая   сотня,"3 500 000,0═",
91,850-03,"Централизованная   религиозная организация ""Духовный центр мусульман Республики   Ингушетия""",0606000601,Оказание   социальной помощи,"1 000 000,0═",
92,854-03,"Региональное   отделени Всероссийской общественной организации ""Молодая гвардия Единой   России"" Республики Ингушетия",0606006339,Молодежная   политика в республике Ингушетия,"1 000 000,0═",
93,865-03,"Региональная   общественная организация ""Ассоциация студентов Ингушетии""",0606001468.,Проведение   мероприятий по вовлечению студенческой молодежи,"1 000 000,0═",
94,870-03,"Некоммерческое   партнерство ""Центр защиты и помощи гражданам за рубежом и поддержки   соотечественников",7710476630,Международный   экспертно-политический форум Форос,"4 000 000,0═",
95,874-03,"Территориальная   организация студентов столицы Общероссийской общественной организации   ""Российский студенческий профессиональный союз""",7703326023,Детский   мир,"2 200 000,0═",
96,878-03,Межрегиональная   общественная организация содействия патриотическому воспитанию граждан,7703361490,Юные   таланты России. Костромская область,"1 100 000,0═",
97,894-03,Некоммерческое   партнерство═ ╚Национальное агентство   развития малоэтажного и коттеджного строительства╩,7707330655,Доступное   жилье для молодежи,"1 100 000,0═",
98,899-03,"Региональная   общественная организация ""Нижегородский центр творчества детей и   молодежи""",5261056409,Суперкомпьютер,"750 000,0═",
99,904-03,"Общероссийская   общественная организация ""Российский Союз Молодежи""",7701047627,Помощь   талантливой молодежи в условиях экономического кризиса,"7 100 000,0═",
100,907-03,"Краевая   общественная организация ""Союз молодежни Ставрополья""",2633001333,Золотой   век инноваций,"1 800 000,0═",
101,909-03,"Межрегиональная   общественная организация ""Ассоциация юных лидеров""",7722117071,Кризис   - это угроза? Нет. Это - новые возможности,"1 750 000,0═",
102,922-03,Некоммерческая   организация═ ╚Нижегородский   региональный общественный фонд Социального содействия ╚ПАРТНЕР╩,5257053211,Альтернативная   одаренность,"1 700 000,0═",
103,931-03,"Рязанское   региональное отделение общероссийской общественной организации инвалидов   ""Всероссийское общество глухих""",6231008801,"Молодые,   веселые и находчивые глухарики","190 000,0═",
104,932-03,"Национальный   фонд содействия молодежи ""Молодые лидеры""",7715588094,Эффективное   социальное проектирование,"9 200 000,0═",
105,941-03,"Коми   республиканское отделение Общероссийского благотворительного фонда   ""Российский Детский фонд""",1101470131,Молодежный   Технополис Коми,"900 000,0═",
106,950-03,"Ивановская   областная общественная организация поддержки творчества детей и молодежи   ""Атлант""",3702005252,Территория   успеха: поддержка проектной занятости молодежи,"1 200 000,0═",
107,954-03,"Орловская   областная молодежная общественная ""Орловская студенческая община""",5754004750,Молодежный   карьерный консультант,"1 200 000,0═",
108,960-03,"Регоинальная   общественная организация ""Центр развития молодежного парламентаризма и   самоуправления""",5405295224,Повышение   конкурентоспособности молодежи на рынке труда: альтернативные карьерные   сценарии,"1 300 000,0═",
109,965-03,Некоммерческая   организация ╚Национальная организация игрушечников России╩,7708211509,Поддержка   молодежного изобретательства Игропрома,"500 000,0═",
110,983-03,"Региональная   молодежная общественная организация ""Патриот""",2013429190,Учебно-консультационный   центр по поддержке молодых предпринимателей,"700 000,0═",
111,991-03,Межрегиональная   Общественная Организация Российского Союза Молодежи в Санкт-Петербурге и   Ленинградской области,7811059343,Выпускник   и изобретатель - 2009,"3 000 000,0═",
112,998-03,Некоммерческое   партнерство ╚межрегиональный центр социальных информационных программ╩,7727277664,Юношеский   кибер-турнир им. А.В. Суворова,"2 000 000,0═",
113,1031-03,"Автономная   некоммерческая организация ""Московская дирекция фестивально-концертных   проектов авторской пести ""Стольный град""",7701565178,Не   прервать связующую нить,"500 000,0═",
114,1038-03,"Общероссийская   Общественная Организация ""Центр экологической политики и культуры""",7736242957,"Антикризисное   молодежное движение ""Молодежь за энергоэффективность""","4 800 000,0═",
