13,112,"Общероссийское общественное движение ""Аграрная Россия""","""Развитие земельных отношений на селе как ключевой фактор продовольственного баланса и повышения занятости сельского населения в условиях экономического кризиса""",2 200 000р.
14,128,"Псковский областной благотворительный фонд помощи детям, больным лейкозом ""ПОМОЩЬ""","""Оказание материальной помощи гражданам, попавшим в трудную жизненную ситуацию в связи с кризисом в пос. Красный Луч Бежаницкого района Псковской области""",1 150 250р.
15,132,"Некоммерческий фонд ""Исследования проблем демократии""","""Выпускники российских вузов и кризис: социально-политические установки и успешность на рынках труда (2007, 2008, 2009)""",1 600 000р.
16,137,"Общероссийская общественная организация ""Российская ассоциация искуственного интеллекта"" (РАИИ)","""Индексы оценки состояния гражданского общества в регионах современной России""",5 500 000р.
17,164,Фонд содействия развитию культурно-просветительской деятельности «Фома Центр»,"""Социальные инициативы российского религиозного сообщества""",2 110 000р.
18,165,"Международный фонд ""Достояние""","""Повышение туристической привлекательности регионов как стратегический фактор разития. Возможности кризиса""",1 580 000р.
19,173,Фонд социального развития,"""Институт арендного жилья в России: современное состояние, тенденции развития и возможная роль в реализации государственной жилищной, кадровой и миграционной политики""",2 300 000р.
20,175,"Общественное движение ""Декабрь"" городского округа Тольятти","""Большой семье - большая экономия""",5 000 000р.
21,176,"Автономная некоммерческая организация ""Тренинг-центр «Деловая Волга»""","""Самоорганизация граждан в процессах управления жилым фондом. Почему горожане не создают ТСЖ""",200 000р.
22,178,"Челябинский областной благотворительный общественный фонд помощи детям-сиротам домов ребенка ""Надежда""","""Оказание материальной помощи гражданам, попавшим в трудную жизненную ситуацию в связи с кризисом в Карабашском городском округе Челябинской области""",2 520 000р.
23,179,"Благотворительный фонд поддержки социальных проектов ""Участие""","""Художественно-эстетическое развитие обучающихся в Православной гимназии Свято-Никольского Черноостровского монастыря""",500 000р.
24,180,"Фонд ""Центр исследования общественного мнения""","""Способность политической системы реагировать на общественные ожидания и опасения в условиях преодоления кризиса""",1 850 000р.
25,186,"Общероссийская общественная организация ""Всероссийский совет местного самоуправления""","""Мониторинг лучших практик муниципального антикризисного управления""",1 050 000р.
26,195,"Автономная некоммерческая организация содействия развитию негосударственных организаций медико-социальной сферы ""Информационно-аналитический центр НГО""","""Ресурсы сетей социальной поддержки молодых родителей в условиях кризиса""",400 000р.
27,202,"Автономная некоммерческая организация ""Экспертно-аналитический центр исследований средств массовой информации «Евразия-Медиа»""","""Проведение социологических исследований для определения задачи ТВ как основного общественного СМИ. Проблемы государственного заказа, формирование общественно ответственного ТВ, появление нравственной позиции ТВ и задачи появления национального телевидения""",5 000 000р.
28,207,"Тамбовское региональное отделение общероссийского благотворительного фонда ""Российский детский фонд""","""Оказание материальной помощи гражданам, попавшим в трудную жизненную ситуацию в связи с кризисом в г. Уварово Тамбовской области""",1 863 500р.
29,212,"Ярославское региональное отделение Общероссийской общественной организации ""Деловая Россия""","""Оценка влияния средств массовой информации на формирование общественного мнения в условиях кризисной ситуации: направления, механизмы, методология взаимодействия на региональном уровне""",1 000 000р.
30,215,"Автономная некоммерческая организация ""Центр социального проектирования ""ВОЗРОЖДЕНИЕ""","""Доступность и качество медицинского обслуживания в сельской местности. Потребности. Возможности. Перспективы""",1 300 000р.
31,217,"Некоммерческая организация ""Фонд поддержки инновационных программ в социальной сфере ""Социальная инноватика""","""Качество жизни населения и эффективность управления в регионах России в условиях преодоления последствий кризиса""",2 000 000р.
32,226,Фонд «Институт экономических и социальных исследований»,"""Роль современных политических партий в обеспечении социальной стабильности и формировании религиозной толерантности в поликонфессиональном обществе северокавказского региона (на примере Республики Северная Осетия – Алания)""",1 250 000р.
33,229,"Международный союз общественных объединений ""Перспективный мир""","""Традиционные механизмы социальной, экономической и политической самоорганизации в российском обществе и возможности их современной адаптации""",1 500 000р.
34,237,"Краснодарский краевой общественный фонд ""Независимый аналитический центр «Социум-регион»""",«Потенциал развития добровольческого движения в молодежной среде как элемент антикризисного развития: сравнительное изучение Самарской области и Краснодарского края»,1 750 000р.
35,248,"Автономная некоммерческая организация ""Центр прикладных исследований и программ""","""Исследование перспектив введения в России ограничений на технические параметры потребительской продукции и услуг (""технологические коридоры"") и отношения российских граждан к таким ограничениям""",3 000 000р.
36,249,"Автономная некоммерческая организация ""Центр жилищной экономики и структурного развития региона""","""Управление новыми формами развития жилищного строительства и оценка степени его влияния на формирование среднего класса российского общества в посткризисный период""",600 000р.
37,250,"Некоммерческая организация ""Благотворительный фонд ""Мир""","""Оказание материальной помощи гражданам, попавшим в трудную жизненную ситуацию в связи с кризисом в г. Гремячинск, Нытвенском, Оханском и Суксунском районах Пермского края""",17 220 000р.
38,260,"Общественная организация ""Безопасность"" Пензенской области","""Становление и развитие предпринимательского потенциала граждан в условиях кризиса (на примере Пензенского региона)""",660 000р.
39,276,"Автономная некоммерческая организация ""Институт системного анализа и интеллектуальной собственнности""","""Православное учение о правах и свободе человека и его влияние на традиционную российскую цивилизацию""",1 500 000р.
40,279,Культурно-просветительский РУССКИЙ ФОНД,«Развитие психологической готовности осужденных молодежного возраста к трудовой деятельности после освобождения из мест лишения свободы в ситуации преодоления кризиса»,1 350 000р.
41,285,Некоммерческое партнерство «Ассоциация выпускников МШПИ по Северо-западу»,"""Патриотизм как ресурс социальной мобилизации в условиях кризиса: от социального чувства к социальному действию""",2 300 000р.
42,289,"Межрегиональная общественная организация ""Центр стратегических исследований и развития гражданского общества на Северном Кавказе - СК стратегия""","""Гражданское общество (""третий сектор"") на Северном Кавказе как ресурс политической стабильности и развития региона""",800 000р.
43,298,"Благотворительный фонд ""Фонд регионального развития""","""Оказание материальной помощи гражданам, попавшим в трудную жизненную ситуацию в связи с кризисом в г. Тулун, Черемхово, Свирск Иркутской области""",1 815 000р.
44,302,Некоммерческое партнерство «Центр энергосбережения и инновационных технологий»,"""Разработка методологии и проведение социологического мониторинга проблем, условий и факторов формирования, функционирования и развития региональных инновационных систем в Российской Федерации""",1 100 000р.
45,308,"Общественная организация ""Самарское отделение Академии социальных наук""","""Социальная инфраструктура современной российской деревни: принципы организации и возможности развития""",800 000р.
46,312,"Парфинская районная организация Новгородской областной общественной организации ветеранов (пенсионеров) войны, труда, вооружённых сил и правоохранительных органов","""Оказание материальной помощи гражданам, попавшим в трудную жизненную ситуацию в связи с кризисом в пгт. Парфино Новгородской области""",2 441 250р.
47,324,Некоммерческое партнерство «Ассоциация выпускников Омского государственного университета им. Ф.М. Достоевского»,"""Образование для старшего поколения: изучение возможности и разработка проекта реализации целевой программы в Омской области""",230 000р.
48,328,"Автономная некоммерческая организация по содействию развитию институтов гражданского общества ""Институт ""Справедливый Мир""","""Новые профсоюзы как инструмент управления конфликтом в условиях кризиса""",1 000 000р.
49,332,"Фонд ""Ресурсный центр малого предпринимательства""","""Мировоззрение потребления или новый образ жизни ""умеренных потребностей""",1 000 000р.
