,Приход Собора Святителя Николая Чудотворца,"Поддержка социально незащищенных, малоимущих, многодетных категорий граждан Благочиния православных церквей Карачаево-Черкесской республики. № заявки: 879",800 тыс.
Республика Карелия,,
,Организация,Проект,"Сумма, руб."
,Карельская региональная общественная организация &#8220;Общество помощи больным заболеваниями молочной железы&#8221;,&#8220;Социально-психологическая реабилитация женщин с диагнозом рак молочной железы&#8221; № заявки: 12,460 тыс.
,"Карельская региональная общественная организация родителей, имеющих детей инвалидов «Особая семья»",Социализация инвалидов с детства в Республике Карелия № заявки: 563,900 тыс.
,Благотворительный фонд &#8220;Утешение&#8221;,"Оказание комплексной социальной помощи семье, имеющей несовершеннолетнего, находящегося в конфликте с законом, и  защита их прав &#8220;Школа дружной семьи&#8221; № заявки: 861",1 млн. 620 тыс.
,Общественная организация женщин Кондопожского района &#8220;Современницы&#8221;,"&#8220;Дети - разные, общение - равное!&#8221; - Улучшение отношений между подростками, особенно имеющих ограничения по здоровью,  из России и Финляндии № заявки: 870",255.500
,Благотворительный Фонд социальной поддержки материнства &#8220;Рождение&#8221;,"&#8220;Крепкая семья - Крепкая Россия&#8221; - Развитие сети семейных клубов в целях поддержки семей, находящихся в трудной ситуации,  молодых семей, женщин решивших родить ребёнка, многодетных семей, семей с детьми инвалидами и приёмными детьми № заявки: 871",580 тыс.
,Карельская Республиканская общественная благотворительная организация помощи инвалидам с умственной отсталостью &#8220;Специальная Олимпиада России&#8221;.,"&#8220;Особым людям - особую заботу&#8221; - Содействие средствами физической культуры и спорта успешной реабилитации, социальной адаптации и интеграции инвалидов в общество. № заявки: 940",510 тыс.
,Карельская региональная общественная организация &#8220;Общество &#8220;Знание&#8221; РК&#8221;,&#8220;Творить - значит жить&#8221; - Оказание помощи в  социальном обслуживании малоимущих и социально незащищенных категорий граждан из семей социального риска. № заявки: 961,800 тыс.
,Карельский региональный общественный благотворительный фонд «Центр развития молодежных и общественных инициатив»,"Социально-молодежная работа по профилактике асоциального поведения молодежи в условиях улицы &#8220;Дверь, за которой успех&#8221; № заявки: 1066",335 тыс.
Республика Коми,,
,Организация,Проект,"Сумма, руб."
,Местная общественная организация &#8220;Сыктывкарский дом православной культуры &#8220;Звезда Вифлеема&#8221;,Школа - наш дом (Искусство - детям). Центр творчества детей многодетных семей № заявки: 72,220 тыс.
,Общественное движение &#8220;Чернобыль&#8221; Республики Коми,"Защита и реализация социально-экономических прав граждан, пострадавших в результате техногенных катастроф № заявки: 868",370 тыс.
Республика Марий Эл,,
,Организация,Проект,"Сумма, руб."
,Куженерское районное отделение Марийской республиканской организации общероссийской общественной организации «Всероссийское общество инвалидов»,Центр народного творчества при Куженерском РО МРО ВОИ «Инвалиды могут все» № заявки: 642,250 тыс.
Республика Мордовия,,
,Организация,Проект,"Сумма, руб."
,Мордовская республиканская организация Общероссийской общественной организации инвалидов &#8220;Всероссийское ордена Трудового Красного Знамени общество слепых&#8221;,"Дальнейшее совершенствование социокультурной реабилитации инвалидов по зрению, их интеграции и адаптации в общество, стирание граней между незрячими и зрячими № заявки: 272",500 тыс.
,Региональная  общественная организация &#8220;Агентство волонтерской службы &#8220;Пиэтас&#8221; Мордовского госуниверситета им. Н.П.Огарева,&#8220;А жизнь продолжается… Функционирование  Клуба интеллектуального общения людей старшего поколения &#8220;Золотой возраст&#8221;. № заявки: 309,600 тыс.
,Комитет солдатских матерей,"&#8220;Наше вчера, сегодня, завтра&#8230;&#8221;. Оказание материальной и социальной помощи малоимущим  и социально незащищенным  семьям погибших и умерших  военнослужащих в мирное время и в горячих точках; ветеранам боевых действий. № заявки: 312",700 тыс.
,Саранская городская молодежная общественная организация  &#8220;Ассоциация &#8220;Милосердие&#8221;,Социальное обслуживание нуждающихся пожилых людей &#8220;Добровольцы Мордовии - старшему поколению&#8221; № заявки: 315,1 млн. 300 тыс.
,Мордовское региональное отделение Общероссийского общественного благотворительного фонда &#8220;Российский детский фонд&#8221;,Центр поддержки воспитанников и выпускников детских интернатных учреждений Республики Мордовия &#8220;ВЕТЕР ПЕРЕМЕН&#8221; № заявки: 425,540 тыс.
,Мордовское республиканское детско-юношеское общественное движение &#8220;Истоки&#8221;,Дистанционное обучение детей с ограниченными возможностями № заявки: 429,500 тыс.
,Городская общественная организация &#8220;Общество инвалидов &#8220;Поддержка&#8221;,"&#8220;Заботимся о семье - думаем о будущем&#8221; - Оказание социальной, социально-педагогической,  и психологической  поддержки детей из малообеспеченных многодетных  семей и семей, воспитывающих детей с ограниченными возможностями № заявки: 596",400 тыс.
Республика Саха (Якутия),,
,Организация,Проект,"Сумма, руб."
,Автономная некоммерческая организация Союз ветеранов &#8220;Ньурбакаан&#8221;,Адресная помощь спецшколе г. Якутска (для детей с нарушением интеллекта) &#8220;От мудрости старших к радостям детства&#8221; № заявки: 35,400 тыс.
,Общественная организация &#8220;Аборигенка&#8221; г. Якутска,"Центр социальной поддержки малоимущих и социально-незащищенных категорий граждан, представителей малочисленных народов Севера &#8220;Помоги себе сама&#8221; № заявки: 483",640 тыс.
Республика Северная Осетия-Алания,
,Организация,Проект,"Сумма, руб."
,Северо-Осетинское республиканское отделение Общероссийской общественной организации &#8220;Объединение многодетных семей России&#8221;,"&#8220;Счастье семьи - счастье страны&#8221; - Оказание помощи детям из многодетных семей в изучении  национального и социального опыта, расширении знаний о традициях, культуре народов России. № заявки: 486",800 тыс.
,Северо-Осетинская  республиканская ресурсная общественная организация &#8220;Центр  правового и гражданского контроля&#8221;,Организация Общественных Центров адресной поддержки и социального обслуживания  детей семей беженцев и вынужденных переселенцев РСО-Алания № заявки: 567,3 млн.
Республика Татарстан,,
,Организация,Проект,"Сумма, руб."
,Негосударственное образовательное учреждение &#8220;Городской центр образования взрослых&#8221;,&#8220;В семье появился особый малыш …&#8221; - Нормализация жизнедеятельности семей с детьми-инвалидами № заявки: 592,400 тыс.
,Благотворительный Фонд &#8220;Милосердие в образовании&#8221;,"&#8220;Необычный класс в обычной школе&#8221; - Создание условий перехода к инклюзивному образованию - совместному обучению и воспитанию детей, не имеющих отклонений в развитии, и детей с ограниченными возможностями. № заявки: 595",784.600
,Региональная общественная организация инвалидов &#8220;Закал&#8221; по Республике Татарстан,"Достижения инвалидами равных, с другими гражданами, возможностей, участие во всех сферах жизни общества, через создание новых рабочих мест путем открытия производств. № заявки: 869",780 тыс.
Республика Удмуртия,,
,Организация,Проект,"Сумма, руб."
,Некоммерческое партнерство Международный центр &#8220;Надежда&#8221;,Проект &#8220;ПОМОГИТЕ МАМЕ&#8221; - Оказание помощи мамам и их детям-инвалидам  в восстановлении своих внутренних сил и осознании себя полноценными членами  общества № заявки: 750,290 тыс.
Республика Хакасия,,
,Организация,Проект,"Сумма, руб."
,Хакасское региональное отделение Общероссийской общественной организации инвалидов &#8220;Всероссийское общество глухих&#8221;,&#8220;В Едином строю&#8221;. Оказание различных социальных услуг инвалидам по слуху. № заявки: 50,380 тыс.
,Хакасская региональная общественная организация &#8220;Правовая инициатива&#8221;,"&#8220;Волшебные спицы&#8221;. Приобретение шерсти у населения и изготовление теплых вещей для детей-сирот, инвалидов и малообеспеченных семей. № заявки: 69",402.750
,Общественная организация Региональная Общественная Молодежная Организация Республики Хакасия «Эдельвейс»,&#8220;Служба социального ремонта&#8221; - Организация помощи в проведении ремонтных работ для малоимущих и социально-незащищенных категорий населения муниципальных образований Республики Хакасия.      № заявки:   182,400 тыс.
,Хакасская республиканская организация общероссийской общественной организации &#8220;Всероссийское общество инвалидов&#8221;,Республиканский форум красоты для людей с ограниченными физическими способностями &#8220;Особая мода 2009&#8243; № заявки: 292,404.040
Кабардино-Балкарская Республика,
,Организация,Проект,"Сумма, руб."
,Майское районное общество инвалидов,Оздоровление и реабилитация инвалидов в Майском районе КБР № заявки: 591,510 тыс.
Удмуртская Республика,,
,Организация,Проект,"Сумма, руб."
,Автономная некоммерческая организация среднего профессионального образования &#8220;Академия современного управления (колледж)&#8221;,"&#8220;Лексикон эрудита&#8221; - развитие кругозора, внутреннего комфорта детей с ограниченными возможностями № заявки: 100","2,5 млн."
,Городская некоммерческая общественная организация &#8220;Ассоциация родителей детей-инвалидов&#8221; г. Сарапула Удмуртской Республики.,&#8220;Мир без границ&#8221;. Интеграция детей-инвалидов в общество через современные средства коммуникации. № заявки: 291,505 тыс.
,Удмуртское республиканское отделение Общероссийской общественной организации инвалидов &#8220;Всероссийское общество глухих&#8221;,&#8220;Чтобы тело и душа были молоды…&#8221; - Создание условий и расширение возможностей  социальной адаптации и реабилитации инвалидов по слуху посредством физической культуры и спорта. № заявки: 922,440 тыс.
Чувашская республика,,
,Организация,Проект,"Сумма, руб."
,Общественная благотворительная организация инвалидов-жертв политрепрессий &#8220;Чувашская Ассоциация жертв незаконных политических репрессий&#8221;,&#8220;Вспомним всех поименно&#8221; - Увеличение помощи  жертвам незаконных политических репрессий № заявки: 125,180 тыс.
,Некоммерческое партнерство &#8221; Интернациональный социально-культурный центр &#8221; Интердейт&#8221;,&#8220;Развитие филантропии в Чувашской Республике&#8221; - социальное инвестирование в молодежные проекты посредством создания и развития Фонда Местного Сообщества № заявки: 535,280 тыс.
,Яльчикская районная организация Чувашской республиканской организации Общероссийской общественной организации &#8220;Всероссийское общество инвалидов&#8221;.,"&#8220;Жизнь без барьеров&#8221; - Повышение  духовно-нравственного уровня и   физического состояния инвалидов путем проведения выставок, концертов, спортивных состязаний.   № заявки: 804",50 тыс.
,Общественная организация &#8220;Комитет солдатских матерей Чувашской Республики&#8221;,&#8220;Доброта и честь спасет мир&#8221; № заявки: 887,330 тыс.
,Ядринская районная организация Чувашской республиканской организации общероссийской общественной организации &#8220;Всероссийское общество инвалидов&#8221;,«Полноценная жизнь инвалида» (адаптация инвалидов  в современном обществе) № заявки: 946,60 тыс.
Алтайский край,,
,Организация,Проект,"Сумма, руб."
,Автономная некоммерческая организация &#8220;Редакция газеты &#8220;Змеиногорский вестник&#8221; города Змеиногорска,"&#8220;Теплый дом&#8221; - защита прав семьи, детей, семей  социального риска № заявки: 139",540 тыс.
,Алтайская региональная общественная организация кумандинцев «Исток»,"&#8220;С нами легче!&#8221;. Оказание помощи  социально незащищенным  слоям населения: пенсионерам, ветеранам, инвалидам. № заявки: 413",230 тыс.
,Фонд поддержки российских немцев &#8220;Алтай&#8221;,"&#8221; Под защитой семьи&#8221;- содействие семейному типу устройства детей, оставшихся без попечения родителей № заявки: 744",360 тыс.
,Алтайская краевая общественная организация &#8220;Вместе против рака&#8221;,"&#8220;Старикам везде у нас почет&#8221; - Социально-психологическая реабилитация инвалидов старшего поколения,   повышение качества их жизни.   № заявки: 749",450 тыс.
Забайкальский край,,
,Организация,Проект,"Сумма, руб."
,"Читинская региональная общественная организация развития культуры, народного творчества и досуга &#8220;Модный дом за Байкалом&#8221;",&#8220;Красота нам поможет&#8221;. Создание экспериментальных студий - мастерских народных художественных промыслов. № заявки: 1103,500 тыс.
Пермский край,,
,Организация,Проект,"Сумма, руб."
,Ижевский филиал некоммерческой организации благотворительного фонда &#8220;Новый Свет&#8221;,&#8220;Замечательные дети - замечательные семьи&#8221; (оказание помощи по социальной реабилитации многодетным семьям) № заявки: 260,510 тыс.
,Пермское региональное отделение общероссийской Общественной организации инвалидов &#8220;Поддержка президентских программ по делам инвалидов&#8221;,Хочу узнать все сам! - Организация надомных  занятий с детьми-инвалидами. № заявки: 346,250 тыс.
,Пермская краевая организация Общероссийской общественной организации инвалидов &#8220;Всероссийское ордена Трудового Красного знамени общество слепых&#8221;,Новые горизонты доступного чтения: электронный читальный зал на службе незрячего пользователя № заявки: 620,500 тыс.
,Некоммерческое партнерство &#8220;Семейная корпорация &#8220;Фортуна&#8221;,"&#8220;Рука помощи&#8221; - Обучение компьютерной грамотности  малообеспеченных инвалидов-опорников, проявляющих высокую степень заинтересованности в компьютерных технологиях. № заявки: 1170",600 тыс.
Приморский край,,
,Организация,Проект,"Сумма, руб."
,Общество инвалидов &#8220;Владос&#8221; г. Владивостока Приморской краевой организации общероссийской общественной организации &#8220;Всероссийское общество инвалидов&#8221;,&#8220;Движение-жизнь&#8221;: спортивная реабилитация инвалидов-спинальников и больных ДЦП г.Владивостока № заявки: 250,1 млн.
,Межрегиональная общественная организация &#8220;Дальневосточная экологическая комиссия&#8221;,&#8220;Дальневосточный благотворительный социально-юридический центр&#8221; № заявки: 256,1 млн.
,Автономная некоммерческая организация содействия молодой семье &#8220;Венец&#8221;,"Просветительско-профилактический проект &#8220;Феникс&#8221; - снижение уровня социального неблагополучия семей, оказавшихся  в трудной жизненной ситуации, преодоление социального сиротства, профилактика детской безнадзорности № заявки: 269",750 тыс.
,Общественная организация &#8220;Владивостокское общество помощи детям&#8221;,"Центр военно-патриотического воспитания и подготовки допризывной молодёжи &#8220;Дальневосточная застава&#8221;, на базе социального комплекса деревни &#8220;Семейный очаг&#8221; № заявки: 403",1 млн.
,Негосударственное образовательное учреждение высшего профессионального образования &#8220;Институт технологии и бизнеса&#8221;,"Круглогодичный учебно-оздоровительный центр для детей из малоимущих семей  и  людей преклонного возраста, проживающих в Приморском крае № заявки: 506",710 тыс.
,Приморский краевой общественный благотворительный фонд защиты материнства и детства &#8220;МАМА&#8221;,"&#8220;Приморье без сирот!&#8221; - Улучшение положения детей-сирот, детей, оставшихся без попечения родителей, многодетных и малообеспеченных семей № заявки: 533",1 млн.
,Владивостокская общественная организация журналистов &#8220;Восток&#8221;,&#8220;Фестиваль социальной рекламы: проблемы общества - глазами подрастающего поколения&#8221; № заявки: 743,445 тыс.
,Приморская краевая организация общероссийской общественной организации &#8220;Всероссийское общество инвалидов&#8221;,"Строительство  жилищно-производственного комплекса в сельской местности для инвалидов, лишенных жилья (2 этап) № заявки: 777",460.200
Камчатский край,,
,Организация,Проект,"Сумма, руб."
,Региональная общественная организация &#8220;Союз Женщин Камчатки&#8221;,Создание и обеспечение Центра для поддержания активного образа жизни женщин Камчатки  «Вдохновение» № заявки: 136,1 млн.
,Региональная общественная благотворительная организация &#8220;Дельфин&#8221;,&#8220;Час милосердия&#8221; - Оказание помощи на дому тяжелобольным лежачим людям. № заявки: 590,400 тыс.
,"Камчатское краевое отделение Всероссийской общественной организации ветеранов (пенсионеров) войны, труда, Вооруженных Сил и правоохранительных органов","Победителям Великой Отечественной войны - Слава, уважение и память! (Защита лиц старшего поколения) Продолжение работы по выполнению Государственной программы по патриотическому воспитанию населения Камчатки. № заявки: 886",700 тыс.
Краснодарский край,,
,Организация,Проект,"Сумма, руб."
,Краснодарское краевое отделение Международного общественного фонда &#8220;Российский фонд мира&#8221;,"&#8220;Спешим на помощь&#8221; (социальная адаптация и физическая помощь семьям, в которых растет и воспитывается ребенок - колясочник). № заявки: 200",454.300
,Фонд помощи детям-инвалидам &#8220;Надежда&#8221;,&#8220;Особый Мир&#8221; - Оказание помощи детям-инвалидам и их родителям  в  адаптации к современной  жизни № заявки: 678,475 тыс.
,Краснодарская краевая общественная организация &#8220;Новое поколение&#8221;,"&#8220;Древо жизни&#8221; - Распространение здоровьесберегающих технологий,   поддержка и обслуживание социально незащищенных групп населения № заявки: 721",820 тыс.
,"Фонд &#8221; Филантроп&#8221;, Новороссийский филиал","&#8220;Позвоните, и мы Вам поможем&#8221; - Реабилитация инвалидов города и прилегающих сельских районов, направленная на более полное устранение или возможно более полную компенсацию ограничений жизнедеятельности № заявки: 774",450 тыс.
,Краснодарская краевая детско-юношеская общественная организация инвалидов детства и детей инвалидов &#8220;Луч&#8221;,"Правовое просвещение родителей, имеющих детей-инвалидов № заявки: 945",305 тыс.
,Благотворительный фонд &#8220;Аурея&#8221;,"&#8220;Предел прочности&#8221;. Снижение социальной напряжённости малоимущих, незащищённых слоев населения. № заявки: 52",600 тыс.
,Автономная Некоммерческая Организация ДЮСШ по конному спорту &#8220;Кентавр&#8221;,"Создание на базе ДЮСШ &#8220;Кентавр&#8221; штатной секции лечебной верховой езды для поддержки, реабилитации детей с ДЦП и другими нарушениями опорно-двигательного аппарата из малообеспеченных семей, оказания социальной, физической и психологической помощи № заявки: 688",600 тыс.
,"КРОО Кризисный центр для женщин и их семей, подвергшихся насилию &#8220;Верба&#8221;","&#8220;Скорая помощь&#8221; для всей семьи - Предотвращение насилия в семье через оказание комплексной помощи  семье, находящейся в кризисной ситуации.   № заявки: 1147",370 тыс.
Ставропольский край,,
,Организация,Проект,"Сумма, руб."
,Межрегиональная неполитическая общественная организация &#8220;Миротворческая миссия имени генерала Лебедя&#8221;,"Медико-психологическая реабилитация граждан, пострадавших в ходе вооруженного конфликта в Чеченской Республике № заявки: 550","1,2 млн."
,Ставропольская городская молодежная общественная организация &#8220;Творческий союз &#8220;ЗВЕЗДНЫЙ ВЕТЕР&#8221;,"&#8220;Правовая защита&#8221; - Создание Центра правового образования и защиты населения, в том числе социально незащищенных категорий граждан. № заявки: 832",240 тыс.
,Межрегиональная патриотическая общественная организация молодежи &#8220;Русская самозащита&#8221;,"&#8220;Россия Здравствуй&#8221; - Воспитание на основе лучших традиций Российской духовности чувства патриотизма, формирование у подрастающего поколения верности Родине, готовности к служению Отечеству и его вооружённой защите.   № заявки: 1124",1  079.500
Хабаровский край,,
,Организация,Проект,"Сумма, руб."
,Автономная некоммерческая организация &#8220;Реальная помощь&#8221;,"&#8220;Теплый дом&#8221; - Формирование социально-бытовых навыков и навыков трудовой деятельности у детей-инвалидов с отклонениями в психическом развитии, посредством пребывания на летне-оздоровительной, обучающей площадке, созданной на базе частного дома. № заявки: 357",360 тыс.
,Хабаровская краевая благотворительная общественная организация &#8220;Зеленый Дом&#8221;,Люди-невидимки - направлен на улучшение положения бездомных в г. Хабаровске и Хабаровском крае. № заявки: 572,510 тыс.
,Автономная некоммерческая организация  &#8220;Социально-психологическая служба поддержки семьи &#8220;Возрождение  семьи&#8221;,&#8220;Навигатор&#8221; - Доработка и апробирование интерактивной программы подготовки воспитанников интернатных учреждений  к самостоятельной жизни. № заявки: 917,644.875
Ханты-Мансийский автономный округ,
,Организация,Проект,"Сумма, руб."
,"Няганская городская общественная благотворительная организация &#8221; С Верой, Надеждой, Любовью&#8221;",&#8220;Маленькие родники большой России&#8221; (социальная поддержка инвалидов) № заявки: 190,800 тыс.
,Нижневартовская общественная организация &#8220;Многодетная семья&#8221;,&#8220;Семь-Я&#8221; - Создание условий для активной жизненной позиции  многодетных семей. № заявки: 956,250 тыс.
Ямало-Ненецкий автономный округ,
