20,44,Некоммерческое партнерство   &#8220;Развитие и поддержка детей&#8221;,"&#8220;Дубы Московии&#8221;. Возрождение   исторических дубовых рощ в Московской области, попытка решения проблемы   безработицы.",г.   Москва,"600   000,00"
21,47,"Карачаево-Черкесский общественный   благотворительный Фонд ветеранов войны (пенсионеров), труда и Вооруженных Сил",«Каждый имеет право на счастливое   детство и достойную старость». Программа поддержки социально незащищенной   категории граждан в условиях мирового финансового кризиса.,Карачаево-Черкесская   Республика,"400   000,00"
22,49,Всероссийская общественная организация   инвалидов &#8220;Центр паралимпийского спорта&#8221;,Социальный туризм для людей с   ограниченными возможностями здоровья.,г.   Москва,"500   000,00"
23,54,Ставропольское краевое отделение общероссийского   общественного благотворительного фонда &#8220;Российский детский фонд&#8221;,&#8220;Перезвоны доброты&#8221; -   социальному сиротству и семейному неблагополучию  - нет!,Ставропольский   край,"650   000,00"
24,65,Владимирская областная общественная   организация &#8220;Всероссийское общество инвалидов&#8221;,"Постельное белье лежачим больным (Пошив   силами инвалидов постельного белья, которое будет бесплатно предоставлено   малоимущим, лежачим инвалидам).",Владимирская   область,"400   000,00"
25,66,Владимирская городская общественная   организация инвалидов-опорников &#8220;Надежда&#8221;,"«Работа «не выходя из дома» - путь к   успеху»: трудоустройство 20 инвалидов-опорников в домашних условиях, развитие   способности к самореализации у парализованных людей путем их социальной   реабилитации.",Владимирская   область,"400   000,00"
26,68,Псковское областное отделение   Общероссийского общественного благотворительного фонда &#8220;Российский   детский фонд&#8221;,"&#8220;Соучастие в судьбе&#8221;. Оказание   помощи детям из семей, пострадавших от кризиса, ресурсная поддержка наиболее   нуждающихся в помощи детских домов, школ-интернатов и социальных приютов.",Псковская   область,"573   450,00"
27,71,Ярославское региональное отделение   Общероссийского общественного благотворительного фонда &#8220;Российский   детский фонд&#8221;,"Поддержка детей, отцы которых погибли   при исполнении служебного долга, особо одаренных детей-сирот и   детей-инвалидов.",Ярославская   область,"415   000,00"
28,73,Тамбовская региональная организация   Общероссийской общественной организации инвалидов войны в Афганистане,«За социальные гарантии» (4 этап).   Создание службы доступа инвалидов-колясочников и малоподвижных инвалидов к   объектам социальной и культовой инфраструктуры.,Тамбовская   область,"897   000,00"
29,74,Некоммерческая организация Фонд развития   экотуризма &#8220;Дерсу Узала&#8221;,Эколого-психологические и военно-патриотические   образовательные программы как инновационные методы социальной адаптации и   подготовки к самостоятельной жизни детей из детских домов и школ-интернатов.,г.   Москва,"800   000,00"
30,75,Межрегиональная Общественная Организация   содействия  созидательному взаимодействию   детей и взрослых «Круг»,"«Синий Ветер» - программа построения   связей и взаимодействия между детьми, оказавшимися в сложных жизненных   условиях, и людьми из благополучного мира.",г.   Москва,"300   000,00"
31,78,Специализированный производственный кооператив   инвалидов &#8220;Радость&#8221;,"Сохранение рабочих мест для инвалидов,   оказавшихся в тяжелой жизненной ситуации.",Республика   Хакасия,"251   798,00"
32,80,Семилукское районное отделение   Воронежской областной общественной организации Всероссийского общества   инвалидов,"Центр творческой, социальной и   психологической реабилитации инвалидов &#8220;Чайка&#8221;.",Воронежская   область,"300   000,00"
33,87,Общественная организация &#8220;Ленинская   местная организация Всероссийского общества инвалидов&#8221;,"Центр дополнительного образования в   сфере информационных технологий для людей с ограниченными возможностями и   семей, воспитывающих ребенка-инвалида.",Новосибирская   область,"500   000,00"
34,93,Некоммерческое партнерство &#8220;Клуб   военно-патриотической и спортивной подготовки молодежи &#8220;АТЦ-Альфа&#8221;,"Программа по военно-патриотическому   воспитанию молодежи, формированию гражданственности и организации первичной   профилактики правонарушений на 2009 год.",Московская   область,"400   000,00"
35,98,Детско-молодежная общественная организация   &#8220;Здоровое детство&#8221; города Новокуйбышевска.,"&#8220;Лечение с увлечением&#8221;.   Лечебная верховая езда как комплексная реабилитация, оказывающая   одновременное терапевтическое воздействие на три сферы человека: физическую,   эмоциональную и когнитивную.",Самарская   область,"500   422,00"
36,99,Московское областное  отделение Всероссийской общественной   организации ветеранов &#8220;Боевое братство&#8221;,"&#8220;Ты в памяти моей всегда&#8230;&#8221;   Социальная поддержка членов семей военнослужащих, погибших и пропавших без   вести при ведении боевых действий на территории Чеченской Республики&#8221;.",Московская   область,"1 000   000,00"
37,108,Читинская региональная общественная   организация &#8220;Память&#8221;,"Материальная и духовная поддержка   ветеранов и инвалидов ВОВ, участников локальных конфликтов и членов их семей   в условиях экономического кризиса.",Забайкальский   край,"500   000,00"
38,114,Нальчикское городское общество инвалидов,"&#8220;Программа социализации и   оздоровления инвалидов&#8221;: комплекс программ оздоровительного, досугового,   творческого и спортивного характера с учетом групп инвалидности и возрастных   групп.",Кабардино-Балкарская   Республика,"1 000   000,00"
39,120,Автономная некоммерческая  организация    Детско-подростковый  центр   &#8220;Геолог&#8221;,"&#8220;Я    - Человек с большой    буквы&#8221;: формирование на основе экологических знаний осознанного,   бережного отношения к природе, которое должно проявляться в поведении детей.",Архангельская   область,"390   794,00"
40,130,Амурское областное отделение   Общероссийского общественного благотворительного фонда &#8220;Российский   детский фонд&#8221;.,Антикризисная помощь малообеспеченным   семьям сельской глубинки: повышение качества жизни детей в малообеспеченных и   многодетных семьях.,Амурская   область,"1 000   000,00"
41,132,"Воронежский региональный   благотворительный фонд содействия социальной защите военнослужащих и   ветеранов МВД, ФСБ, МО и Прокуратуры   &#8220;Экономическая Безопасность&#8221;","&#8220;Здоровье и благо нации - общее   дело граждан России&#8221;: формирование антинаркотического мировоззрения,   повышение активности всех членов общества в деятельности по пропаганде   здорового образа жизни.",Воронежская   область,"1 500   000,00"
42,134,"Вологодское региональное отделение   Всероссийской общественной организации ветеранов (пенсионеров) войны, труда,   Вооруженных Сил и правоохранительных органов","&#8220;Социальная поддержка и защита прав   ветеранов войны, труда, Вооруженных Сил и правоохранительных органов в условиях   финансово-экономического кризиса, участие ветеранских организаций в   сохранении народных традиций и патриотическом воспитании населения&#8221;.",Вологодская   область,"300   000,00"
43,136,"Орская городская общественная   организация &#8220;Союз матерей воинов, погибших за Отечество&#8221;","Социально-психологическая реабилитация   защитников Отечества и их семей, пострадавших при исполнении долга и  военных действий.",Оренбургская   область,"800   000,00"
44,140,Свердловская областная общественная   организация ветеранов (инвалидов) войны и военной службы Уральского   Добровольческого танкового Корпуса,Открытие Патриотического клуба   &#8220;Связь поколений&#8221; и Музея УДТК к 65-летию Великой Победы.,Свердловская   область,"500   000,00"
45,150,Благотворительный фонд &#8220;Детская   жизнь&#8221;,Кружок кулинарии &#8220;Хозяюшка&#8221; в   детском доме: подготовка детей детских домов к самостоятельной жизни.,Свердловская   область,"201   850,00"
46,159,"Орловская областная организация   Всероссийской общественной организации ветеранов (пенсионеров) войны, труда,   вооруженных сил и правоохранительных органов",Поддержка малоимущих и социально   незащищенных категорий граждан Орловской области.,Орловская   область,"600   000,00"
47,161,Региональный благотворительный   общественный фонд &#8220;Московский фонд мира&#8221;,Благотворительная программа   &#8220;Спасение&#8221;. Поддержка малоимущих и социально незащищенных  категорий граждан.,г.   Москва,"1 000   000,00"
48,162,"Фонд помощи Больнице Святой Евгении -   Лечебно-диагностическому, реабилитационному и научному центру для жителей   блокадного Ленинграда, блокадникам и их потомкам","Медико-социальная реабилитация   блокадников, проходящих лечение в Больнице Святой Евгении, и медицинские   исследования проблем послеблокадной патологии.",г.   Санкт-Петербург,"1 000   000,00"
49,166,Местная общественная организация   &#8220;Клуб любителей книги города Нижнего Тагила&#8221;,«Мир без границ: Виртуальное   пространство»: предоставление доступа к информационным ресурсам Интернета   инвалидам по зрению.,Свердловская   область,"347   000,00"
50,184,Межрегиональная общественная организация   инвалидов &#8220;Московская диабетическая ассоциация больных сахарным диабетом   &#8220;МДА&#8221;,"&#8220;Жизнь без власти диабета&#8221; -   адресное обеспечение наборами медико-социальной помощи малоимущих и   незащищенных слоев населения, страдающих сахарным диабетом (в том числе   инвалидов).",г.   Москва,"1 500   000,00"
51,187,Фонд поддержки ветеранов Арктики и   Антарктики &#8220;Полюс&#8221;,"&#8220;Помощь ветеранам-полярникам   Арктики и Антарктики, передача полярной школы молодому поколению, участие в   арктических и антарктических экспедициях&#8221;.",г.   Москва,"2 000   000,00"
52,190,Автономная некоммерческая благотворительная   организация &#8220;Спасение&#8221;,Материальная поддержка малоимущих и   социально незащищенных категорий граждан: &#8220;Поможем неимущим&#8221;.,Рязанская   область,"500   000,00"
53,193,Негосударственное образовательное   учреждение &#8220;Институт благородных девиц&#8221;,&#8220;Здоровая нация - будущее   России&#8221;. Создание условий для детей и молодежи с ограниченными   возможностями для реализации их творческих способностей в современных   условиях.,Республика   Карелия,"450   000,00"
54,197,Алтайская краевая общественная   организация «Геблеровское экологическое общество»,&#8220;Общественная экологическая   инспекция Алтайского края&#8221;: создание действующего объединения граждан   для осуществления общественного контроля над соблюдением природоохранного   законодательства.,Алтайский   край,"500   000,00"
55,202,Детская общественная организация   Курганской области &#8220;Открытый мир&#8221;,"Проект поддержки социальной мобильности   &#8220;Мир открытых возможностей&#8221; (выездная консультационная служба для   людей, потерявших или не имеющих работу, и их семей).",Курганская   область,"600   000,00"
56,203,Региональная Общественная организация   &#8220;Зеленый росток&#8221;  Еврейской   автономной области,&#8220;Ребята с нашего двора&#8221;   (привлечение молодого поколения к управлению своей территорией и охране   окружающей среды).,Еврейская   автономная область,"300   000,00"
57,204,Курское региональное отделение   Общероссийской общественной организации &#8220;Ассоциация Ветеранов Спецслужб   (АВС)&#8221;,"Поддержка и социальное обследование   малоимущих и социально незащищенных категорий граждан, пропаганда здорового   образа жизни, охрана здоровья населения и окружающей среды.",Курская   область,"350   000,00"
58,206,Ставропольская городская общественная   организация инвалидов «Вольница»,«Центр социально-психологической   поддержки и сопровождения детей с    инвалидностью и их семей в образовательном процессе».,Ставропольский   край,"400   000,00"
59,207,Прибайкальская районная общественная   организация инвалидов &#8220;Центр деятельности &#8220;Отрадный сад&#8221;,«Развитие социальной деревни - модель   жизнедеятельности людей с множественными нарушениями здоровья»: укрепление   внутренней структуры и жизнеобеспечения.,Республика   Бурятия,"700   000,00"
60,209,Орловская областная общественная   организация инвалидов Союз &#8220;Чернобыль&#8221;,"«Социальная защита и адаптация граждан,   подвергшихся воздействию радиации вследствие радиационных катастроф»   (Оказание материальной и моральной поддержки).",Орловская   область,"456   500,00"
61,214,Псковская областная общественная   организация &#8220;СОЮЗ ПАТРИОТОВ ПСКОВЩИНЫ - ПСКОВСКАЯ РУСЬ&#8221;,&#8220;Связь поколений&#8221;: комплекс   мероприятий по социальной и духовной поддержке ветеранов Великой   Отечественной войны и патриотическому воспитанию молодежи в г. Великие Луки.,Псковская   область,"300   000,00"
62,221,Региональная благотворительная   общественная организация помощи детям сиротам &#8220;Солнечный круг&#8221;,"&#8220;Социальная адаптация воспитанников   детских домов и школ-интерантов&#8221;: помощь в развитии профессиональных   навыков, развитие творческих способностей детей.",г.   Москва,"1 000   000,00"
63,223,Региональная общественная   благотворительная организация &#8220;Дельфин&#8221;,"&#8220;Час милосердия&#8221;: ежедневное   посещение сотрудниками организации (медицинские сестры) тяжелобольных лежачих   людей, одиноко проживающих либо больных людей из семей, находящихся в трудной   жизненной ситуации.",Камчатский   край,"800   000,00"
64,224,Краснодарская региональная общественная   организация &#8220;Вторая мама&#8221;,&#8220;С миру по нитке&#8221;. Организация   пункта  выдачи одежды и предметов   обихода семьям в кризисной ситуации.,Краснодарский   край,"200   000,00"
65,227,Некоммерческое партнерство «Гончарик»,"«Сделаем мир прекраснее. Глина не просто   лишь земля». Развитие гончарно-керамического промысла, обучение детей и   безработных основам ремесла, организация рабочих мест.",Калининградская   область,"671   700,00"
66,233,Региональный общественный Фонд поддержки   Героев Советского Союза и Героев Российской Федерации имени генерала Е.Н. Кочешкова,Социальная реабилитация детей с   девиантным поведением специальных общеобразовательных школ через   героико-патриотическое воспитание &#8220;Возьми в пример себе Героя&#8221;.,г.   Москва,"1 000   000,00"
67,234,Общественная организация   Духовно-благотворительный центр Ради Честныя Иконы Божией Матери именуемой   &#8220;Нечаянная Радость&#8221;,"&#8220;Оказание помощи нищим, малоимущим   и многодетным семьям путем строительства в сельской местности жилого дома и   создания фермерского хозяйства&#8221;.",Камчатский   край,"750   000,00"
68,235,Региональный фонд социальной поддержки   населения,"&#8220;Созидать будущее - вместе!&#8221;   Эффективная социальная поддержка, реабилитация инвалидов и социально   незащищенных категорий граждан в условиях экономического кризиса.",Орловская   область,"1 500   000,00"
69,238,Автономная некоммерческая организация Социально-психологическая   служба поддержки семьи &#8220;Возрождение    семьи&#8221;,"&#8220;Навигатор плюс&#8221;: комплексная   социально-психологическая помощь неполным семьям, семьям с   родителями-инвалидами, многодетным семьям.",Хабаровский   край,"500   000,00"
70,240,Автономная некоммерческая организация   науки и культуры &#8220;Женский проект СПб&#8221;,&#8220;РАДУГА&#8221;: социальная и   психологическая поддержка материнства и детства на базе детских садов              г. Тихвина Ленинградской   области.,г.   Санкт-Петербург,"300   000,00"
71,241,"Некоммерческая организация   благотворительный фонд &#8220;Новый Свет&#8221;, Ижевский филиал","&#8220;Мы рядом в трудную минуту&#8221;:   оказание помощи двадцати малоимущим неблагополучным семьям        г. Ижевска и г. Камбарки, оказавшимся   в наиболее тяжелом положении в период экономического кризиса в стране.",Удмуртская   Республика,"500   000,00"
72,243,Удмуртское республиканское отделение   Общероссийской общественной организации инвалидов &#8220;Всероссийское   общество глухих&#8221;,"&#8220;Творцы своей жизни&#8221; -   адаптация  инвалидов по слуху,   оказавшихся в трудной жизненной ситуации в период экономического кризиса.",Удмуртская   Республика,"250   000,00"
73,245,Благотворительный фонд «Новая жизнь»,Оказание физкультурно-оздоровительных   услуг для лиц с ограниченными возможностями здоровья.,г.   Москва,"1 000   000,00"
74,249,"Новгородская областная общественная   организация помощи приемным семьям, детям-сиротам и семейным детским домам   &#8220;Новая семья&#8221;",&#8220;Приемная семья - теплый дом&#8221;:   организация санаторно-курортного лечения г. Великом Новгороде для детей-сирот   из приемных семей.,Новгородская   область,"1 000   000,00"
75,251,Общероссийская общественная организация   инвалидов &#8220;Интеграция&#8221;,"Межрегиональный проект по разработке   концепции инновационной системы интеграции инвалидов в общество   (профориентация, обучение (переобучение) и трудоустройство).",г.   Москва,"1 500   000,00"
76,258,Автономная некоммерческая организация   «Международный образовательный центр Монтессори-педагогики»,Оказание социально-реабилитационных   услуг в условиях дневного пребывания детям-инвалидам и детям с ограниченными   возможностями.,Ленинградская   область,"500   000,00"
77,261,"Краснодарская городская общественная   организация ветеранов (пенсионеров, инвалидов) войны, труда, Вооруженных Сил   и правоохранительных органов",Социальная поддержка и внимание   малообеспеченным гражданам старшего поколения в период экономического   кризиса.,Краснодарский   край,"250   000,00"
78,266,Костромское региональное отделение   Общероссийской общественной организации инвалидов &#8220;Всероссийское   общества глухих&#8221;,"Межрегиональная социальная акция   инвалидов с нарушением слуха &#8220;Воздание&#8221;, посвященная празднованию   65-летию со Дня Победы в ВОВ.",Костромская   область,"251   800,00"
79,268,Пензенское городское отделение   Пензенской региональной организации Общероссийской общественной организации   инвалидов войны в Афганистане,Оказание благотворительных   (безвозмездных) транспортных услуг для инвалидов войн в г. Пензе (социальное   такси).,Пензенская   область,"500   000,00"
80,269,Ульяновская местная общественная   организация &#8220;РИТМ&#8221;,Клуб семейного добровольчества   &#8220;Большая семья&#8221; как форма участия родителей в формировании   здорового образа жизни.,Ульяновская   область,"600   000,00"
81,274,Городская общественная организация   инвалидов &#8220;Общество &#8220;ДАУН СИНДРОМ&#8221;,«Центр развития  реабилитационной компетентности родителей»:   программа формирования помогающего компетентного поведения родителей в   отношении ребенка с нарушениями развития раннего возраста.,Новосибирская   область,"720   000,00"
82,275,"Автономная некоммерческая организация   &#8220;Центр содействия развитию культуры, искусства, науки, образования&#8221;",Развитие корпоративной добровольческой   деятельности как формы неполной социальной занятости на основе   самоорганизации в Пермском крае.,Пермский   край,"5 000   000,00"
83,277,Псковская областная общественная   организация &#8220;Союз возрождения Псковского края&#8221;,"&#8220;Никто  не    забыт,  ничто  не  забыто&#8221;:   сохранение  исторической  памяти    и  проявления  заботы о тех,  кто    защищал  Отечество  в    годы  войны.",Псковская   область,"500   000,00"
84,279,Местная православная религиозная   организация Приход Серафимовский г. Волжский Волгоградской епархии   Русской Православной Церкви,"&#8220;Спешите делать добро&#8221;:   создание детского духовно-просветительского центра &#8220;Пилигрим&#8221; для   формирования в детях, находящихся в трудной жизненной ситуации, сильной   гармоничной личности.",Волгоградская   область,"300   000,00"
85,284,"Региональная Детская Общественная   Организация  &#8220;Центр содействия   реабилитации инвалидов, сирот и социальной адаптации детей из многодетных,   неполных и малообеспеченных семей &#8220;Эхо&#8221;","&#8220;Искренность и милосердие&#8221;:   оказание адресной помощи, содействие реабилитации детей-инвалидов и их семей,   оказание им образовательной поддержки и    развитие творческих возможностей.",г.   Москва,"1 456   000,00"
86,285,Петрозаводская общественная молодежная   организация инвалидов &#8220;Крылья надежды&#8221;,Школа независимой жизни для детей с   ограниченными возможностями здоровья «Я могу все сам».,Республика   Карелия,"700   000,00"
87,287,Некоммерческая организация Московский   областной фонд содействия Вооруженным Силам,"Трудоустройство одиноких матерей,   проживающих в военных городках Московской области.",Московская   область,"1 000   000,00"
