Республика Адыгея,,
,Православная религиозная организация Сыктывкарская и Воркутинская епархия Русской Православной Церкви,Реабилитация социальная и духовно-нравственная детей-сирот и детей из многодетных семей - &#8220;Забота и милосердие&#8221; № заявки: 696,800 тыс.
,"Коми республиканский фонд социальной защиты военнослужащих, граждан уволенных с военной службы","Создание информационного центра  для военнослужащих и граждан, уволенных с военной службы - &#8220;Правовой центр Республики Коми&#8221; № заявки: 536",304.084
Кабардино-Балкарская Республика,
,Организация,Проект,"Сумма, руб."
,Кабардино-Балкарская республиканская организация Общероссийской общественной организации инвалидов войны в Афганистане,Социальная поддержка и реабилитация инвалидов вследствие боевых действий и военной травмы № заявки: 231,700 тыс.
,Майское районное общество инвалидов,"Проект по социальной интеграции инвалидов в общество по Майскому району КБР - организация поездок инвалидов на лечебные ванны, оказание адресной материальной помощи нуждающимся, проведение для них юридических консультаций № заявки: 503",
Республика Мэрий Эл,,
,Организация,Проект,"Сумма, руб."
,Медведевское районное отделение Марийской республиканской общественной организации  ВОИ,Создание системы помощи  инвалидам &#8220;Уголок России - Отчий дом&#8221; № заявки: 364,803.900
,Марийская республиканская организация  общероссийской общественной организации &#8220;Всероссийское общество инвалидов&#8221;,Создание центра социальной помощи при республиканской организации ВОИ № заявки: 305,
Республика Мордовия,,
,Организация,Проект,"Сумма, руб."
,Мордовская республиканская организация Общероссийской общественной организации инвалидов &#8220;Всероссийское ордена Трудового Красного Знамени общество слепых&#8221;,Создание условий для трудоустройства инвалидов в сфере компьютерных технологий &#8220;Равные права - равные возможности&#8221; № заявки: 12,309 тыс.
,Мордовский республиканский правозащитный центр (МРПЦ),Оказание правовой и информационной помощи инвалидам &#8220;Чтобы выстоять&#8221; № заявки: 63,190 тыс.
,Мордовская региональная организация  Общероссийской общественной организации инвалидов войны в Афганистане.,"Создание &#8220;Центра социально-психологической и правовой помощи для военнослужащих, пострадавших при исполнении своего воинского долга, и членов их семей&#8221; № заявки: 65",982.692
,Мордовское республиканское детско-юношеское движение &#8220;Исток&#8221;(Саранск),Дистанционное обучение детей с ограниченными возможностями № заявки: 312,449.668
,Саранская городская молодежная общественная организация  &#8220;Ассоциация &#8220;Милосердие&#8221;,Оказание материальной помощи инвалидам из малоимущих семей - &#8220;Добровольцы Мордовии - старшему поколению&#8221; № заявки: 487,
,Мордовское республиканское отделение  Международного общественного фонда  &#8220;Российский фонд мира&#8221;,"Проведение благотворительных акций по оказанию помощи ветеранам войны и труда, социально незащищенным категориям граждан - Благотворительный марафон добрых дел  &#8220;Мы чтим вас, ветераны&#8221; № заявки: 489",222.848
,Комитет солдатских матерей,"Оказание материальной помощи матерям, потерявшим сыновей в результате боевых действий &#8220;Где взять им сил жить на земле без сыновей&#8221; № заявки: 275",900 тыс.
,Региональная общественная организация &#8220;Агентство волонтерской службы &#8220;Пиэтас&#8221; Мордовского госуниверситета им.Н.П.Огарева&#8221;,&#8220;Жизнь только начинается. Создание Клуба интеллектуального общения людей старшего поколения &#8220;Золотой возраст&#8221;. № заявки: 277,450 тыс.
Республика Северная Осетия-Алания,
,Организация,Проект,"Сумма, руб."
,Северо-Осетинское  республиканское общественное учреждение &#8220;Центр гражданского и правового просвещения&#8221;,"Программа адресной поддержки и социального обслуживания детей из малообеспеченных, бедных и неблагополучных семей РСО-Алания № заявки: 143",
,Северо-Осетинский межрегиональный общественный благотворительный фонд &#8220;Кавказский Совет по беженцам&#8221;,Интеграция ВПЛ из Чеченской Республики на территории Ингушетии № заявки: 250,
,Северо-Осетинское Республиканское отделение Общероссийской общественной организации &#8220;Российский Красный Крест,Оказание материальной помощи малоимущим семьям - &#8220;Достойную жизнь - старшему поколению&#8221; № заявки: 495,976.800
Республика Татарстан г.Казань,,
,Организация,Проект,"Сумма, руб."
,Негосударственное образовательное учреждение &#8220;Городской центр образования взрослых&#8221;,"Защита интересов и прав детей-сирот, гармонизация отношений в приемных семьях &#8220;Родительский дом - начало начал&#8230;&#8221; № заявки: 93",721.820
,Общественная организация Диабетическое общество инвалидов Республики Татарстан,"Социальная поддержка инвалидов, больных сахарным диабетом &#8220;Мое здоровье в моих руках&#8221; № заявки: 372",
Республика Тыва,,
,Организация,Проект,"Сумма, руб."
,Кызылская  городская организация Тувинской Республиканской организации ООО инвалидов  &#8220;Всероссийское общество инвалидов&#8221;,"Оказание материальной помощи  инвалидам, не имеющим производственных навыков - &#8220;Город добрых надежд&#8221; № заявки: 502",935 тыс.
Республика Удмуртия,,
,Организация,Проект,"Сумма, руб."
,Некоммерческое партнерство &#8220;Ижевский экспертный клуб&#8221;,Создание компьютерного образовательно-досугового центра для детей и молодежи с ограниченными возможностями № заявки: 444,708.100
,Удмуртская региональная организация Общероссийской общественной организации инвалидов войны в Афганистане,Организация работы с воспитанниками Республиканского детского дома УР &#8220;Я нужен России&#8221; № заявки: 346,124.632
,"Общественная организация &#8220;Объединение детей-инвалидов, инвалидов с детства, их родителей и опекунов города  Ижевска&#8221;",Социальная реабилитация инвалидов  с детства с умственными и психофизическими нарушениями через обучение самостоятельной хозяйственной деятельности с последующим оказанием шефской помощи внутри и за пределами организации инвалидов № заявки: 347,350 тыс.
,Некоммерческое партнерство Международный центр &#8220;Надежда&#8221;,Оказание помощи матерям-одиночкам - &#8220;Помогите маме&#8221; № заявки: 406,260 тыс.
,Общероссийская общественная организация &#8220;Социальное содействие&#8221;,"Социальная адаптация граждан, оказавшихся в трудной жизненной ситуации, путем получения дополнительных профессиональных навыков - &#8220;Доступное образование&#8221; № заявки: 647",
Республика Хакасия,,
,Организация,Проект,"Сумма, руб."
,Абаканская общественная организация &#8220;Школа боевых искусств&#8221;,&#8220;Привлечение детей из малоимущих и социально незащищенных семей к занятиям спортом&#8221; № заявки: 147,168.100
,Хакасская республиканская организация общероссийской общественной организации  &#8220;Всероссийское общество инвалидов&#8221;,Республиканский фестиваль художественного творчества инвалидов Республики Хакасия № заявки: 153,250 тыс.
,Абаканская городская общественная организация Хакасской республиканской организации Общероссийской общественной организации&#8221;Всероссийское общество инвалидов&#8221;,&#8220;Адаптивный спорт для людей с ограниченными возможностями как средство патриотического возрождения&#8221; № заявки: 322,300 тыс.
,Хакасское региональное отделение Общероссийской общественной организации инвалидов &#8220;Всероссийское общество глухих&#8221;,"Реализации комплекса мер по социальной и психологической поддержке инвалидов по слуху &#8220;Для тех, кто скован тишиной&#8230;&#8221; № заявки: 349",713.182
Чеченская республика,,
,Организация,Проект,"Сумма, руб."
,Чеченский филиал Некоммерческой организации Всемирного благотворительного фонда &#8220;Дети и молодежь - против терроризма и экстремизма&#8221;,Правовое просвещение как важнейший фактор противодействия экстремизму в молодежной среде № заявки: 604,939.800
Чувашская республика,,
,Организация,Проект,"Сумма, руб."
,Чувашская республиканская организация Общероссийской общественной организации инвалидов войны в Афганистане,"Социализация инвалидов локальных войн, повышение их коммуникационных возможностей путем расширения доступа к сетевым информационным ресурсам &#8220;Вместе по жизни&#8221; № заявки: 95",732.500
,Чувашская республиканская молодежная общественная организация &#8221; Союз студентов и молодежи Чувашской Республики &#8221; Новые Перспективы&#8221;,Создание волонтерского  &#8220;Ресурсного центра для слабо защищенных слоев населения&#8221; № заявки: 97,766.840
Краснодарский край,,
,Организация,Проект,"Сумма, руб."
,Фонд &#8221; Филантроп&#8221; (Некоммерческая организация),Скорая  техническая помощь инвалидам № заявки: 115,300.400
,Краснодарское краевое отделение Международного общественного фонда &#8220;Российский фонд мира&#8221;,Оказание помощи малоимущим семьям &#8220;Всем миром согреваем души&#8221; № заявки: 134,352.322
,Краснодарская краевая молодежная общественная организация &#8220;Культурно-эстетический центр &#8220;Новое Поколение&#8221;,Радость движения № заявки: 181,
,Тбилисская районная организация Краснодарской краевой организации  общественной организации  &#8220;Всероссийское общество инвалидов&#8221; (ВОИ),Обучение инвалидов по зрению работе на компьютерах &#8220;Окно в мир&#8221; № заявки: 182,
,Краснодарская городская цыганская национально-культурная автономия,Формирование системы благотворительной помощи бизнес- сообщества Краснодара местной  цыганской диаспоре &#8220;Новый курс&#8221; № заявки: 352,705.500
,Краснодарская краевая детско-юношеская общественная организация инвалидов детства и детей-инвалидов &#8220;Инва-Студия&#8221;,Социальная реабилитация детей инвалидов детства и детей инвалидов в арттерапевтическом комплексе № заявки: 459,
,Краснодарское  региональное отделение  общероссийской общественной организации инвалидов &#8220;Всероссийское общество глухих&#8221;,Создания центра сурдопереводческих услуг для обучения сурдопереводчиков с последующим обеспечением ими групп инвалидов по слуху для  перевода  на язык жестовой речи и обратным переводом - &#8220;Я счастлив видеть твои руки&#8221; № заявки: 515,
,Краснодарская  краевая молодежная  общественная специализированная поисковая организация &#8220;Арсенал&#8221;,&#8220;Следопыт Предгорья&#8221;. Проведение краеведческого учебно-полевого молодежного оздоровительного лагеря № заявки: 541,997.503
,Фонд помощи детям-инвалидам &#8220;Надежда&#8221;,Раскрыть потенциальные возможности детей с ограниченными возможностями - &#8220;Жизнь для всех&#8221; № заявки: 401,504.400
,АНО Центр развития семьи &#8220;Островок тепла&#8221;,Создание центра психологической поддержки - &#8220;Семейная история&#8221; № заявки: 407,800 тыс.
,Краснодарская Региональная общественная организация &#8220;Вторая мама&#8221;,"Развитие семейных форм устройства детей-сирот и детей, оставшихся без попечения родителей - &#8220;Дорога домой&#8221; № заявки: 544",
,Благотворительный фонд &#8220;Аурея&#8221;,Социальная поддержка малоимущих граждан Уярского района&#8221; № заявки: 261,500 тыс.
,Минусинская местная общественная организация  &#8220;Объединение инвалидов-диабетиков&#8221;,"&#8220;Мы рисуем Енисей&#8221; (содействие объединению детей-диабетиков Красноярского края, их адаптации в окружающем мире через участие в творческой деятельности. № заявки: 546",216.788
,Красноярская региональная общественная организация &#8220;Сибирское Социальное Партнерство&#8221;,&#8220;Включение общественности в профилактику семейного насилия по отношению к несовершеннолетним в Красноярском крае&#8221; № заявки: 52,675.400
,Красноярская краевая организация  Общероссийской общественной организации инвалидов &#8220;Всероссийского Ордена Трудового Красного Знамени общества слепых&#8221;,Создание базы данных инвалидов по зрению Красноярского края № заявки: 104,811 тыс.
"Камчатская область, Корякский  автономный округ",
,Организация,Проект,"Сумма, руб."
,Региональная общественная организация &#8220;Союз Женщин Камчатки&#8221;,Создание и обеспечение деятельности отделения Комплексного центра социального обслуживания населения &#8220;Маленькая мама&#8221; в Елизовском районе Камчатского края № заявки: 308,
,"Камчатский областной Совет ветеранов (пенсионеров) войны, труда, Вооруженных Сил и правоохранительных органов",&#8220;Ветеранам Великой Отечественной войны - достойное настоящее! (Защита лиц старшего поколения)&#8221; № заявки: 313,400 тыс.
Приморский край,,
,Организация,Проект,"Сумма, руб."
,Приморский краевой общественный благотворительный фонд защиты материнства и детства &#8220;МАМА&#8221;,Создание центра реабилитации детей оставшихся без попечения родителей &#8220;Приморье без сирот!&#8221; № заявки: 387,
,Приморская региональная общественная организация содействия  развитию экологических и культурных программ &#8220;Восток&#8221;,"Оказание помощи  детям, оставшимся без попечения родителей -&#8221;Ведь так не бывает на свете, чтоб были потеряны дети&#8230;&#8221; № заявки: 455",713.292
,Приморская краевая организация общероссийской общественной организации &#8220;Всероссийское общество инвалидов&#8221; (ВОИ),"Строительство жилищно-производственного комплекса для инвалидов, лишенных жилья № заявки: 410",300 тыс.
,Общественная организация инвалидов &#8220;Союз слепых женщин&#8221; г. Владивостока,Социализация инвалидов по зрению путем вовлечения в экотуризм &#8220;Раздвигая границы доступного мира&#8221;: Активное изучение природы родного края - один из путей к независимой жизни инвалидов&#8221; № заявки: 89,683.585
Ставропольский край,,
,Организация,Проект,"Сумма, руб."
,Петровская районная организация Ставропольской краевой организации общероссийской общественной организации &#8220;Всероссийское общество инвалидов&#8221;,Повышение эффективности общественной организации инвалидов в области интеграции людей с ограниченными возможностями &#8220;Петровский прорыв&#8221; № заявки: 259,250.850
,Ставропольская краевая организация Общероссийской общественной организации инвалидов &#8220;Всероссийское Ордена Трудового Красного Знамени общество слепых&#8221;,&#8220;Творчество и спорт - против недуга&#8221; № заявки: 279,570 тыс.
,Ставропольская городская общественная организация инвалидов &#8220;Помощь&#8221;,Интернет - услуги для пожилых людей № заявки: 360,332 тыс.
,Ставропольское краевое отделение Межрегиональной благотворительной общественной организации &#8220;Орден милосердия и социальной защиты&#8221;,Оказание материальной помощи малоимущим семьям &#8220;От сердца к сердцу&#8221; № заявки: 384,973.820
Хабаровский край,,
,Организация,Проект,"Сумма, руб."
,Автономная некоммерческая организация &#8220;Реальная помощь&#8221;,"Изменение отношения общества к семьям, имеющих детей-инвалидов с отклонениями в психическом развитии, посредством информирования об их проблемах и реализации адресных социальных проектов совместно с государственными и бизнес структурами - &#8220;Первые лучи&#8221; № заявки: 705",454.950
,Автономная некоммерческая организация  &#8220;Социально-психологическая служба поддержки семьи &#8220;Возрождение  семьи&#8221;,"Создание центра  психологической помощи семьям с определенными житейскими трудностями - &#8220;Вернись в дом, счастье&#8221; № заявки: 391",435.590
,Общественная организация поддержки и реабилитации детей инвалидов с нарушением слуха и глухонемых &#8220;АРИДОНС&#8221;,"Форум и фестиваль в целях вовлечения, обучения  и объединения молодых людей с инвалидностью для активного участия в жизни общества - &#8220;Над Амуром белым парусом&#8221; № заявки: 396",100 тыс.
Ханты-Мансийский автономный округ,
,Организация,Проект,"Сумма, руб."
,"Няганская городская общественная благотворительная организация &#8221; С Верой, Надеждой, Любовью&#8221;","&#8220;Оказание экстренной помощи на дому жителям города пожилого и преклонного возраста ,инвалидам не входящим в категорию лиц обслуживаемых социальными структурами города&#8221; № заявки: 397",900 тыс.
,Благотворительный фонд &#8220;Благодарность&#8221;,Материальная и психологическая поддержка пенсионеров преклонного возраста &#8220;Жизнь продолжается&#8230;&#8221; № заявки: 300,
,Сургутская общественная организация инвалидов Всероссийского общества инвалидов,Оказание материальной помощи инвалидам &#8220;Теплые руки помощи&#8221; № заявки: 249,244 тыс.
Ямало-Ненецкий автономный округ,
,Организация,Проект,"Сумма, руб."
,Некоммерческая организация &#8220;Благотворительный фонд &#8220;ИХЛАС&#8221;,"&#8220;ИХЛАС&#8221; - материальная, моральная и духовная поддержка незащищенных категорий граждан Ямало-Ненецкого автономного округа № заявки: 486",
Алтайский край,,
,Организация,Проект,"Сумма, руб."
,Алтайская краевая общественная организация инвалидов - колясочников &#8221; Преодоление&#8221;,Поддержка инвалидов в процессе их социально-психологической адаптации № заявки: 137,193.594
,Алтайская региональная организация Общероссийской общественной организации инвалидов войны в Афганистане,&#8220;Усовершенствование деятельности в области социально-реабилитационных услуг &#8220;Центра социальной реабилитации инвалидов и ветеранов боевых действий&#8221; Алтайской региональной организации Общероссийской общественной организации инвалидов войны в Афганистане&#8221; № заявки: 142,980 тыс.
,Алтайское краевое отделение Общероссийской общественной организации &#8220;Российский Красный Крест&#8221;,&#8220;Центр комплексной социальной поддержки жителей Алтайского края &#8220;Социальный азимут&#8221; № заявки: 145,774.292
,Фонд поддержки российских немцев &#8220;Алтай&#8221;,Оказание материальной помощи малоимущим семьям &#8220;Школа социального партнерства&#8221; № заявки: 390,594.846
Амурская область,,
,Организация,Проект,"Сумма, руб."
,Амурское региональное отделение общероссийского общественного движения &#8220;Ветераны России&#8221;,Оказание помощи ветеранам труда с ограниченными физическими возможностями &#8220;Добрая старость&#8221; № заявки: 168,160 тыс.
,Негосударственное образовательное учреждение дополнительного образования взрослых школа &#8220;Город мастеров&#8221;,"Организация профессионального обучения инвалидов, системы дополнительного образования   волонтеров общественной системы социальной поддержки малоимущих категорий граждан  &#8220;Твой шанс&#8221; № заявки: 67",
,Амурская областная общественная организация социальной поддержки детей-инвалидов и их родителей &#8220;Источник&#8221;,&#8220;Создание долгосрочной материально-технической базы для оказания музыкально-песенных реабилитационных услуг детям и подросткам с ограниченными возможностями&#8221; № заявки: 82,352.265
,Амурское областное отделение Общероссийского общественного благотворительного фонда &#8220;Российский детский фонд&#8221;,"Акция по обеспечению детей малообеспеченных семей одеждой, обувью, продуктами питания &#8220;Помощь детям сельской глубинки&#8221; № заявки: 283",700 тыс.
Архангельская область,,
,Организация,Проект,"Сумма, руб."
,Местная общественная организация &#8220;Котласская межрайонная организация Всероссийского общества инвалидов&#8221;,Улучшение качества жизни инвалидов с нарушениями опорно-двигательного аппарата &#8220;Судьбе наперекор&#8221; № заявки: 20,197.800
,Региональная общественная организация  &#8220;Союз общественных объединений инвалидов Архангельской области&#8221;,"Поддержка общественных и благотворительных организаций области, осуществляющих деятельность в сфере социальной поддержки малоимущих граждан &#8220;Союз - центр поддержки общественных организаций инвалидов&#8221; № заявки: 30",792.103
