35,105,"Общественое движение ""Декабрь"" городского округа Тольятти","""Исследование российской научно-технологической диаспоры в развитых странах: условия и возможности возвращения научных кадров и использования потенциала""",4 250 000
36,107,"Ивановская областная общественная организация ""Ассоциация практикующих психотерапевтов""","""Изучение распространенности игровой зависимости среди молодежи и разработка мер по ее профилактике""",178 636
37,108,"Общественная организация ""Центр по изучению дискриминаций, экстремизма и ксенофобий Республики Татарстан""","""Деструктивные факторы социального взаимодействия в многонациональном регионе""",537 842
38,110,Ростовская Ассоциация Товариществ Собственников Жилья,"""Институционализация «эффективного собственника» и самоорганизации жителей в многоквартирном доме""",500 000
39,115,"Некоммерческое партнерство ""Образовательное, инновационное, научно-исследовательское объединение ""Социум+""","""Телевидение как инструмент формирования культурного пространства - проблемы и ожидания""",345 306
40,116,"Благотворительный фонд ""Региональный центр социального сопровождения освободившихся женщин ""ЭОС""","""Эффективность работы системы государственных, муниципальных и коммерческих структур по оказанию социальной помощи лицам, освобождающимся из исправительных учреждений""",580 000
41,122,Амурское региональное общественное учреждение «Центр гуманитарных программ «Даурия»,"""Русские и китайцы: проблемы и перспективы этнического взаимодействия в приграничных районах Дальнего Востока России""",280 000
42,123,Северо-Осетинская региональная общественная организация «Гражданская инициатива»,"""Возвращение южных осетин на родину: культурно-психологические факторы выбора""",208 370
43,124,"Общероссийская общественная организация ""Российское общество историков-архивистов""","""Новые явления в социальном поведении учащейся молодежи современной России""",800 000
44,126,"Некоммерческое партнерство ""Межрегиональная Ассоциация Мониторинга и Статистики Образования""","""Направления взаимодействия вузов и работодателей в представлениях заинтересованных сторон""",350 000
45,129,Межрегиональная общественная организация «Общественный Центр «Судебно-правовая реформа»,"""Анализ практики распространения восстановительных технологий в Пермском крае""",500 000
46,133,"Межрегиональная общественная организация многодетных семей ""Большая семьЯ""","""Исследование многодетных семей и некоммерческих организаций помощи многодетным семьям (Проблемные социальные группы в обществе)""",2 100 000
47,139,"Общероссийское общественное движение ""Аграрная Россия""","""Исследование роли экспертного сообщества, СМИ, отраслевых ассоциаций, других общественных объединений в определении продовольственного баланса страны и экспортного потенциала АПК России""",2 700 000
48,149,"Автономная некоммерческая организация ""Информационно-образовательный центр ""Этноресурс""","""Ментальные карты Ижевска и их роль в формировании городской идентичности""",700 000
49,150,Фонд «Центр политических технологий»,"""Региональные модели взаимодействия между деловыми и властными элитами: современные процессы и их социально-политические последствия""",850 000
50,151,Фонд «Ресурсный центр малого предпринимательства»,"""Средний бизнес России. Анализ сектора""",1 000 000
51,152,"Автономная некоммерческая организация ""Институт комплексных стратегических исследований""","""Молодежь и малый бизнес: отношение к предпринимательству и создание условий для реализации предпринимательского потенциала (на примере крупных городов России)""",800 000
52,163,Фонд социального развития,"""Влияние состояния жилой среды и жилища на качество жизни среднего класса России, социально-экономическую активность граждан и института семьи, микросоциумов и иных институтов гражданского общества""",5 000 000
53,164,"Архангельская региональная детская общественная организация скаутов ""Союз Россы""","""Детское общественное движение в России как инструмент влияния на качества будущего человеческого капитала""",2 200 000
54,165,"Некоммерческое партнерство ""Мир детства""","""Права человека как зона разногласий и консенсуса элит и населения Российской Федерации""",1 600 000
55,166,"Автономная некоммерческая организация информационных и политических программ ""Национальное политическое агентство""","""Население российского Дальнего Востока: идентичность, патриотизм, сценарии будущего""",1 500 000
56,174,"Некоммерческое партнерство ""Институт экономических стратегий""","""Краткосрочное сценарное прогнозирование развития гражданского общества в России""",800 000
57,175,"Некоммерческое партнерство Проектно-консультативный центр ""Территория РоСТа""","""Изучение типов регионального административно-политического управления, сложившихся в России в постсоветский период""",2 400 000
58,182,"Общественный фонд ""Мнение"" города Ставрополя","""Инновационный слой «Люди-XXI»: структура и потенциал социального развития""",3 400 000
59,187,Некоммерческий фонд «Евразийская сеть политических исследований»,"""Стратегия возвращения интеллектуальной элиты России""",1 500 000
60,188,"Благотворительный фонд ""Русское православие""","""Православное духовенство и формирование мировоззрения и нравственных идеалов православных россиян""",1 650 000
61,195,"Автономная некоммерческая организация ""Центр прикладных исследований и программ""","""Кадровый потенциал росийской науки: состояние, перспективы, решения""",3 300 000
62,212,Санкт-Петербургская общественная организация «Общество содействия социальной защите граждан «Петербургская Эгида»,"""Профсоюзы и рабочий класс в современной России""",600 000
63,234,"Фонд ""Республиканский Центр маркетинговых исследований, консалтинга и обучения""","""Комплексное исследование вузовского сектора рынка образовательных услуг Республики Татарстан""",550 000
64,257,"Некоммерческое партнерство ""Совет Медийной Индустрии""","""Управленческие кадры российского медиабизнеса: власть, влияние, идеология""",1 000 000
65,258,"Межрегиональная общественная организация ""Центр стратегических исследований и развития гражданского общества на Северном Кавказа - СК стратегия""","""Исследование актуальных проблем развития гражданского общества в субъектах Юга России""",900 000
66,259,"Некоммерческое партнерство ""Центр развития малого бизнеса, образования и международных связей ""Сократ""","""Изучение объективных и субъективных противоречий в процессе управления инновациями в системе среднего и высшего профессионального образования в регионах Российской Федерации""",1 000 000
