registy	uniqnum	name	ogrn	ogrndate	address	orgform	region	status
Общественные объединения	2212010961	Каменское городское отделение Алтайской краевой общественной организации ветеранов (пенсионеров) войны, труда, вооруженных сил и правоохранительных органов	1022200531748	16.12.2002	658700, Алтайский край, г. Камень-на-оби, ул. Пушкина, 5 - 66	Общественная организация	Алтайский край	Зарегистрирована
Общественные объединения	2212010795	Косихинское районное отделение Алтайской краевой общественной организации ветеранов (пенсионеров) войны, труда, вооруженных сил и правоохранительных органов	1022202191110	15.08.2002	659820, ул. Комсомольская, 4	Общественная организация	Алтайский край	Исключена
Общественные объединения	2212010955	Мамонтовская районная организация Алтайской краевой общественной организации ветеранов войны, труда, вооруженных сил и правоохранительных органов	1022240527870	27.12.2002	658560, Алтайский край, Мамонтовский район, с.Мамонтово,ул.Партизанская 169	Общественная организация	Алтайский край	Исключена
Общественные объединения	2212010957	Новоалтайская городская общественная организация ветеранов (пенсионеров) войны, труда, вооруженных сил и правоохранительных органов	1022200532001	17.12.2002	658080, Алтайский край, г. Новоалтайск, ул. Парковая, 1а	Общественная организация	Алтайский край	Зарегистрирована
Общественные объединения	2212010322	Общественная организация ветеранов войны, труда, вооруженных сил и правоохранительных органов Железнодорожного района г. Барнаула	1022200534080	24.12.2002	656031, Алтайский край, г. Барнаул, пр-т Строителей, д.  24	Общественная организация	Алтайский край	Зарегистрирована
Общественные объединения	2212010271	Общественная организация ветеранов (пенсионеров) войны, труда, Вооруженых Сил и правоохранительных органов Центрального района г. Барнаула	1022200529097	25.11.2002	656099,г.Барнаул, ул.Песчаная, д. 74	Общественная организация	Алтайский край	Зарегистрирована
Общественные объединения	2212010372	Общественная организация Приобского районного Совета ветеранов (песионеров) войны, труда, вооруженных сил и правоохранительных органов-отделение Алтайского краевого Совета ветеранов	1062202031209	08.06.2006	659300 , Алтайский край, г. Бийск, ул. Ленина, дом 234, кв. 26	Общественная организация	Алтайский край	Зарегистрирована
Общественные объединения	2212010703	Общественная организация Совета ветеранов (пенсионеров) войны, труда, вооруженных сил и правоохранительных органов Ленинского района г. Барнаула	1022200528680	22.11.2002	656055, Алтайский край, г. Барнаул, ул. Г. Исакова, 230 - 205	Общественная организация	Алтайский край	Зарегистрирована
Общественные объединения	2212010212	"Общественнаяорганизация ""Восточный совет ветеранов (пенсионеров) войны, труда, Вооруженных Сил и правоохранительных органов» г. Бийска"	1062202031770	21.07.2006	659300, Алтайский край, г. Бийск, ул. Ленина, 234-26	Общественная организация	Алтайский край	Зарегистрирована
Общественные объединения	2212030212	"Общественный фонд поддержки правоохранительных органов ""Щит"				Общественный фонд	Алтайский край	Исключена
Общественные объединения	2212010335	Октябрьская районная общественная организация совета ветеранов (пенсионеров) войны, труда, Вооруженных сил и правоохранительных органов г. Барнаула	1022200530131	03.12.2002	656002,  Алтайский край,  г.  Барнаул, пр-т Калинина, 4  тел. (8-3852) 61-01-43	Общественная организация	Алтайский край	Зарегистрирована
Общественные объединения	2212010785	Павловское районное отделение Алтайской краевой общественной организации ветеранов (пенсионеров) войны, труда, вооруженных сил и правоохранительных органов	1022200530736	09.12.2002	659900, ул. Ленина, 9	Общественная организация	Алтайский край	Исключена
Общественные объединения	2212012012	Панкрушихинское районное отделение Алтайской краевой общественной организации ветеранов (пенсионеро) войны, труда, Вооруженных Сил и правоохранительных органов			658760 Панкрушихинский р-н, с.Панкрушиха, ул.Зеленая, 6	Общественная организация	Алтайский край	Исключена
Общественные объединения	2212010320	Рубцовская городская общественная организация ветеранов войны, труда, вооруженных сил и правоохранительных органов	1022200530681	06.12.2002	658201, Алтайский край, г. Рубцовск, переулок Школьный, д. 5, тел. (38557) 41567	Общественная организация	Алтайский край	Зарегистрирована
Общественные объединения	2212011254	Совет ветеранов войны, труда, Вооруженных сил и правоохранительных органов Червонного микрорайона Железнодорожного р-на г.Барнаула				Общественная организация	Алтайский край	Исключена
Общественные объединения	2212010677	Тальменское районное отделение Алтайской краевой общественной организации ветеранов (пенсионеров) войны, труда, вооруженных сил и правоохранительных органов			658033, ул. Кирова, 33	Общественная организация	Алтайский край	Исключена
Общественные объединения	2812010097	Амурское региональное отделение всероссийской общественной организации ветеранов (пенсионеров) войны, труда, Вооруженных Сил и правоохранительных органов	1032800001189	19.09.2003	675000, Амурская область,город Благовещенск, улица Красноармейская, 122, кабинет 112	Общественная организация	Амурская область	Зарегистрирована
Общественные объединения	2812010237	Благовещенская районная общественная организация ветеранов (пенсионеров) войны, труда, Вооруженных сил и правоохранительных органов	1072800000514		Амурская область, г. Благовещенск,  ул. Амурская, дом 186а, офис 3	Общественная организация	Амурская область	Исключена
Общественные объединения	2812010527	"Магдагачинская районная общественная организация ""Союз ветеранов (пенсионеров) войны, труда, вооруженных сил и правоохранительных органов"	1082800000271	19.05.2008	676120 Амурская область, Магдагачинский район, п. Магдагачи, ул. К.Маркса 19	Общественная организация	Амурская область	Исключена
Общественные объединения	2812010574	Свободненская городская добровольная общественная организация ветеранов Великой Отечественной войны, военной службы, правоохранительных органов, труженников тыла и ветеранов труда	1092800000490	16.06.2009	г. Свободный, ул. Ленина, 86, 3	Общественная организация	Амурская область	Зарегистрирована
Общественные объединения	2812010501	Амурское областное отделение ассоциации работников правоохранительных органов Российской Федерации	1022800001795	13.05.1997	675000 Амурская область, г.Благовещенск, ул.Зейская, 283	Общественная организация	Амурская область	Исключена
Общественные объединения	2812010422	Шимановская районная общественная организация ветеранов (пенсионеров) войны, труда, вооруженных сил и правоохранительных органов	1052800002023	04.04.2005	Амурская область, г. Шимановск, ул. Оржинекидзе, 14	Общественная организация	Амурская область	Исключена
Общественные объединения	2812030008	Амурский областной фонд социально-правовой защиты сотрудников и пенсионеров правоохранительных и налоговых органов	1022800002246		675000 Амурская область г. Благовещенск ул. Ленина, 108 каб.208	Общественный фонд	Амурская область	Исключена
Общественные объединения	2812030013	Общественный благотворительный Фонд ветеранов (пенсионеров) правоохранительных органов г. Тында	1092800000534		676290, Амурская обл., г. Тында, ул. Красная Пресня, д. 57	Общественный фонд	Амурская область	Зарегистрирована
Общественные объединения	2812010625	Шимановская городская общественная организация ветеранов (пенсионеров) войны, труда, Вооруженных Сил и правоохранительных органов	1112800001115	10.11.2011	Амурская область, город Шимановск, ул. Ленина, 38, каб.9	Общественная организация	Амурская область	Зарегистрирована
Общественные объединения	2812010044	Благовещенская городская общественная организация ветеранов войны, труда, вооруженных сил и правоохранительных органов	1022800016755	26.12.2002	Амурская область,г.Благовещенск, ул.Ленина, 80	Общественная организация	Амурская область	Зарегистрирована
Общественные объединения	2912010354	Местная общественная организация - Вилегодская районная организация ветеранов (пенсионеров) войны и труда Вооруженных сил и правоохранительных органов	1062900016695	06.05.2006	165680, Архангельская область, Вилегодский район, с.Ильинско-Подомское, ул.Советская, д.94, кв.9	Общественная организация	Архангельская область	Зарегистрирована
Общественные объединения	2912010244	Виноградовская общественная районная организация ветеранов (пенсионеров) войны, труда, Вооруженных сил и правоохранительных органов	1022900006469	19.12.2002	164570, Виноградовский район, п. Березник, ул. П.Виноградова, д. 126	Общественная организация	Архангельская область	Зарегистрирована
Общественные объединения	2912030031	Няндомское местное отделение Архангельского регионального благотворительного общественного фонда инвалидов Вооруженных Сил, правоохранительных, судебных, налоговых и таможенных органов, лиц, уволенных в запас и отставку, и членов их семей «ЩИТ»			163051, Няндомский район, г.Няндома, ул.Леваневского, д.54	Общественный фонд	Архангельская область	Исключена
Общественные объединения	2912010186	Коряжемская местная общественная организация пенсионеров, ветеранов войны и труда, Вооруженных сил и правоохранительных органов	1032902533047	30.01.2003	165651, Архангельская область, г. Коряжма, пр. Ленина, д. 29, к. 134	Общественная организация	Архангельская область	Зарегистрирована
Некоммерческие организации	2914010031	"Благотворительный фонд ""Защиты бизнеса и оказания содействия правоохранительным органам"	1032900021131	14.07.2003	163000, г.Архангельск, ул.К.Маркса, д.13	Некоммерческий фонд	Архангельская область	Зарегистрирована
Общественные объединения	2912010227	Котласская районная общественная организация пенсионеров, ветеранов войны и труда, Вооруженных сил и правоохранительных органов	1032902533586	17.02.2003	165300, Котласский район, г.Котлас, Площадь Советов, д. 9, каб. 27	Общественная организация	Архангельская область	Зарегистрирована
Общественные объединения	2912010212	Верхнетоемская районная общественная организация ветеранов (пенсионеров) войны, труда, Вооруженных сил и правоохранительных органов	1032902533718	11.03.2003	165500, Верхнетоемский район, с.Верхняя Тойма, ул.Ломоносова, д.4	Общественная организация	Архангельская область	Зарегистрирована
Общественные объединения	2912010177	Общественная организация ветеранов (пенсионеров) войны, труда, Вооруженных сил и правоохранительных органов Октябрьского округа г.Архангельска	1022900008856	30.12.2002	163061, Архангельская область, г.Архангельск, ул.Воскресенская, д.7	Общественная организация	Архангельская область	Зарегистрирована
Общественные объединения	2912010074	Холмогорская районная общественная организация ветеранов (пенсионеров) войны, труда, Вооруженных сил и правоохранительных органах	1022900009021	30.12.2002	164530, Архангельская область, Холмогорский район, с.Холмогоры, ул.Шубина, д.22, к.А	Общественная организация	Архангельская область	Зарегистрирована
Общественные объединения	2912010076	Архангельская местная (городская) общественная организация ветеранов (пенсионеров) войны, труда, Вооруженных сил и правоохранительных органов	1022900007294	23.12.2002	163000, г.Архангельске, пр.Ломоносова, д.183, корп.1	Общественная организация	Архангельская область	Зарегистрирована
Общественные объединения	2912010169	Котласская городская общественная организация пенсионеров, ветеранов войны и труда, Вооруженных сил и правоохранительных органов	1032902533597	17.02.2003	165300, Котласский район, г. Котлас, пл. Советов, д. 3, каб. 104	Общественная организация	Архангельская область	Зарегистрирована
Общественные объединения	2912010343	Ленская районная общественная организация пенсионеров, ветеранов войны и труда, Вооруженных Сил и правоохранительных органов	1062900000602	25.01.2006	165780, Архангельская область, Ленский район, с. Яренск, ул. Набережная Подбельского, д.1	Общественная организация	Архангельская область	Зарегистрирована
Общественные объединения	2912010049	Архангельская областная общественная организация ветеранов (пенсионеров) войны, труда, Вооруженных сил и правоохранительных органов	1022900007130	23.12.2002	163000, г.Архангельск, Набережная Северной Двины, д. 28, каб. 205	Общественная организация	Архангельская область	Зарегистрирована
Общественные объединения	2912010053	Северодвинская городская общественная организация ветеранов (пенсионеров) войны, труда, вооруженных сил и правоохранительных органов	1022900006700	20.12.2002	164500, Архангельскя область, г.Северодвинск, ул.Ломоносова, д.41, корп.А	Общественная организация	Архангельская область	Зарегистрирована
Общественные объединения	2912010137	Новодвинское городское отделение Архангельской областной общественной организации ветеранов (пенсионеров) войны, труда, Вооруженных сил и правоохранительных органов	1022900008240	30.12.2002	164900, Архангельская область, г.Новодвинск, ул.50-летя Октября, д.7, кв.15.	Общественная организация	Архангельская область	Зарегистрирована
Общественные объединения	2912010094	Архангельская региональная общественная организация журналистов, пишущих на правоохранительную тематику	1032902535368	08.12.2003	163061, г.Архангельск, ул.Воскресенская, д.3	Общественная организация	Архангельская область	Зарегистрирована
Общественные объединения	2912010086	Мезенская районная общественная организация ветеранов (пенсионеров) войны, труда, Вооруженных Сил и правоохранительных органов	1032902532706	09.01.2003	164750, Мезенский район, г.Мезень, просп.Советский, д.48	Общественная организация	Архангельская область	Исключена
Общественные объединения	2912030419	"Общественный региональный  Фонд социальной защиты военнослужащих и работников правоохранительных органов ""ГАРАНТИЯ"" по Архангельской области"	1022900002608	06.11.2002	163061, г. Архангельск, пр. Ломоносова, 119, к. 2	Общественный фонд	Архангельская область	Зарегистрирована
Общественные объединения	2912010384	Ненецкая окружная организация ветеранов (пенсионеров) войны, труда, Вооруженных Сил и правоохранительных органов	1038302273899	18.04.2003	166000, Ненецкий автономный округ, г.Нарьян-Мар, ул.Ленина, д.12, каб.16	Общественная организация	Архангельская область	Зарегистрирована
Общественные объединения	3012011297	Местная Лиманская общественная организация ветеранов войны, труда и правоохранительных органов	1063000015099	14.08.2006	Астраханская область, Лиман пос., Ленина ул., д. 14	Общественная организация	Астраханская область	Зарегистрирована
Общественные объединения	3012010054	Астраханская городская организация Всероссийской общественной организации ветеранов ( пенсионеров ) войны, труда, Вооруженных Сил и правоохранительных органов	1033002813887	01.07.2003	Астрахань г., Советская ул., д. 8	Общественная организация	Астраханская область	Зарегистрирована
Общественные объединения	3012011045	"Астраханское региональное отделение Общероссийской общественной организации ""Ассоциация работников правоохранительных органов и спецслужб Российской Федерации"	1023000833492	02.11.2002	Астрахань г., Южная 1-я ул., д.3, кв.2	Общественная организация	Астраханская область	Зарегистрирована
Общественные объединения	3012011131	"Астраханское региональное отделение общественной организации "" Общероссийский союз инвалидов внутренних войск, Вооруженных сил, пограничных войск, служб безопасности, спорта и правоохранительных органов "	1033002810015	10.01.2003	"Геологов ул./Нанайская ул., д. 1 ""а""/25, литер строения ""Г"	Общественная организация	Астраханская область	Исключена
Некоммерческие организации	3014010057	НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ФОНД ОБЕСПЕЧЕНИЯ БЕЗОПАСНОСТИ НАСЕЛЕНИЯ И СОДЕЙСТВИЯ ПРАВООХРАНИТЕЛЬНЫМ ОРГАНАМ	1023000856207	10.12.2002	Астрахань г.,  Вокзальная ул., д. 20	Некоммерческий фонд	Астраханская область	Исключена
Общественные объединения	3012010092	Астраханское региональное отделение Всероссийской общественной организации ветеранов (пенсионеров) войны, труда, Вооруженных Сил и правоохранительных органов	1033002810169	05.03.2003	Астрахань г., Володарского ул., д. 9	Общественная организация	Астраханская область	Зарегистрирована
Общественные объединения	3112010070	"Белгородское региональное отделение Общероссийской общественной организации ""Российская организация сотрудников правоохранительных органов"	1103100002015	24.12.2010	308519, Белгородская область, Белгородский район, п. Северный, ул. Олимпийская, д. 19а	Общественная организация	Белгородская область	Зарегистрирована
Общественные объединения	3112012726	Белгородская местная (городская) организация Всероссийской общественной организации ветеранов (пенсионеров) войны, труда, Вооруженных сил и правоохранительных органов	1073100000170	12.03.2007	г. Белгород, Народный бульвар, 93	Общественная организация	Белгородская область	Зарегистрирована
Общественные объединения	3112030316	"Белгородский местный общественный фонд поддержки пенсионеров  Вооруженных Сил, пограничных войск, службы безопасности и   правоохранительных органов ""Возрождение"	1023100015696		г. Белгород, ул. Коммунистическая, 176	Общественный фонд	Белгородская область	Зарегистрирована
Общественные объединения	3112012737	Шебекинская местная организация Всероссийской общественной организации ветеранов (пенсионеров) войны,труда, Вооруженных Сил и правоохранительных органов			Белгородская область, г.Шебекино, ул.Свободы, д.19	Общественная организация	Белгородская область	Зарегистрирована
Общественные объединения	3112012731	Новооскольская местная организация Всероссийской общественной организации ветеранов(пенсионеров) войны, труда. Вооружонных Сил и правоохранительных органов			Белгородская  область, г.Новый Оскол. ул.Гражданская,46	Общественная организация	Белгородская область	Исключена
Общественные объединения	3112012739	Губкинская местная (городская) организация Всероссийской общественной организации ветеранов (пенсионеров) войны, труда, Вооружонных Сил и правоохоранительных орнанов	1083100000037	15.01.2008	Белгородская область, г.Губкин, ул.Мира,16	Общественная организация	Белгородская область	Зарегистрирована
Общественные объединения	3112013149	Новооскольская местная организация Всероссийской общественной организации ветеранов (пенсионеров) войны, труда, Вооруженных сил и правоохранительных органов	1083100001632	06.03.2008	Белгородская обл., г.Новый Оскол, ул. Красноармейская, д.2	Общественная организация	Белгородская область	Зарегистрирована
Общественные объединения	3112013006	"Старооскольская местная общественная организация ветеранов и инвалидов правоохранительных органов ""СОЮЗ"	1053100005750	26.05.2005	Белгородская область, г. Старый Оскол, ул. Ленина, д.15 а.	Общественная организация	Белгородская область	Зарегистрирована
Общественные объединения	3112012734	Старооскольская местная (районная) организация Всероссийской общественной организации ветеранов (пенсионеров) войны, труда, Вооруженных Сил и правоохранительных органов			Демократическая ул., д. 28, г. Старый Оскол Белгородской обл., 309530	Общественная организация	Белгородская область	Исключена
Общественные объединения	3112012719	Губкинская местная (районная) организация Всероссийской общественной организации ветеранов (пенсионеров) войны,труда,Вооруженных сил и правоохранительных органов	1083100000026	15.01.2008	Победы ул., д.3, Губкин г.,Белгородская обл., 309180	Общественная организация	Белгородская область	Зарегистрирована
Общественные объединения	3112012738	Чернянская местная организация Всероссийской общественной организации ветеранов (пенсионеров) войны,труда, Вооруженных Сил и правоохранительных органов	1083100000015	15.01.2008	Октябрьская ул., д.20, Чернянка п.,Белгородской обл.,309560	Общественная организация	Белгородская область	Зарегистрирована
Общественные объединения	3112012733	Ровеньская местная организация Всероссийской общественной организации ветеранов (пенсионеров) войны, труда, Вооруженных Сил и правоохранительных органов.	1063100001326	02.06.2006	пгт.Ровеньки.,ул. Ст.Разина 22	Общественная организация	Белгородская область	Зарегистрирована
Общественные объединения	3112012376	Новооскольская местная организация Белгородской областной организации Всероссийской общественной организации ветеранов (пенсионеров) войны,труда,Вооруженных Сил и правоохранительных органов			Гражданская ул., д.46, Новый Оскол г.,Белгородской обл.,309640	Общественная организация	Белгородская область	Исключена
Общественные объединения	3112013007	"Белгородская региональная общественная организация ""Ассоциация социальной защиты ветеранов и сотрудников спецподразделений правоохранительных органов и спецслужб ""Русь"	1053100006299	08.06.2005	г. Белгород, ул. Чехова, дом 24	Общественная организация	Белгородская область	Зарегистрирована
Общественные объединения	3112012741	Белгородская местная (Западного округа г. Белгорода) организация Всероссийской общественной организации ветеранов (пенсионеров) войны, труда, Вооруженных Сил и правоохранительных органов	1033100001330	09.01.2003	г. Белгород, ул. Народная, 135, к. 34	Общественная организация	Белгородская область	Зарегистрирована
Общественные объединения	3112012743	Белгородская местная (Восточного округа г.Белгорода) организация Всероссийской общественной организации ветеранов (пенсионеров) войны, труда, Вооружонных Сил и правоохранительных органов	1033100003969	06.06.2006	г.Белгород, ул.Калинина, 1, каб.1	Общественная организация	Белгородская область	Зарегистрирована
Общественные объединения	3112012429	Белгородская районная организация Белгородской областной организации Всероссийской общественной организации ветеранов (пенсионеров) войны, труда, Вооруженных сил и правоохранительных органов			г. Белгород, ул. Некрасова, 9/15	Общественная организация	Белгородская область	Зарегистрирована
Общественные объединения	3112012721	Корочанская местная организация Всероссийской общественной организации ветеранов(пенсионеров) войны, труда, Вооруженных Сил и правоохранительных органов	1023100015685	20.12.2002	Белгородская область, п.Короча, ул.пл.Васильева,26	Общественная организация	Белгородская область	Зарегистрирована
Общественные объединения	3112012742	Белгородская местная  районная организация Всероссийской общественной организации ветеранов(пенсионеров) войны, труда Вооруженных Сил и правоохранительных органов	1023100006896	25.11.2002	г. Белгород, ул.Некрасова, 9\15. комн. 18	Общественная организация	Белгородская область	Зарегистрирована
Общественные объединения	3112010679	Белгородская региональная организация Всероссийской общественной организации  ветеранов (пенсионеров) войны, труда, Вооруженных Сил   и правоохранительных органов	1023100014618	16.12.2002	г. Белгород, Свято-Троицкий бульвар, д.21 А	Общественная организация	Белгородская область	Зарегистрирована
